NORTHERN CAPE
Frances Baard
Frances Baard
John Taolo Gaetsewe
Namakwa
Namakwa
Pixley Ka Seme
Z F MGCAWU

300014406 2014406 DEGANIA HIGH SCHOOL                                   5                                                                        0               7              7             100,0           0             12            12               100,0
300015402 2015402 EMMANUEL SECODARY SCHOOL                              3           3             81            14               17,3            2             46            34               73,9            0             146           134              91,8
300017225 2017225 FUTURUM ACADEMY                                       5                                                                        0             12            12               100,0           0               7              7             100,0
300012601 2012601 H/Landbouskool Noord-Kaapland                         5           1             47            40               85,1            0             39            38               97,4            0             55            52               94,5
300017306 2017302 H/SCHOOL BANKSDRIFT                                   1         39              97            34               35,1          19              158           59               37,3          29              100           58               58,0
300013401 2013401 H/SCHOOL BORESETSE                                    3         20              142           86               60,6            5             132           88               66,7            5             178           113              63,5
300013302 2013302 H/SCHOOL DIKGATLONG                                   1         18              58            26               44,8          12              63            39               61,9          12              57            38               66,7
300015406 2015406 H/SCHOOL E P LEKHELA                                  2         15              61            38               62,3            7             83            60               72,3          17              79            42               53,2
300010706 2010706 H/SCHOOL ELIZABETH CONRADIE                           5           1             16            15               93,8            1             21            15               71,4            1             20            18               90,0
300011303 2011303 H/SCHOOL EMANG MMOGO                                  2         20              112           67               59,8          16              117           78               66,7          15              110           65               59,1
300011401 2011401 H/SCHOOL FLOORS HIGH                                  4         16              133           95               71,4          16              146           107              73,3          15              147           101              68,7
300017407 2017407 H/SCHOOL FLOORS NO2                                   3           8             107           77               72,0          10              73            47               64,4            8             93            76               81,7
300016403 2016403 H/SCHOOL GREENPOINT                                   3         29              74            31               41,9          13              68            34               50,0          18              97            49               50,5
300012402 2012402 H/SCHOOL HOMEVALE                                     3         42              102           40               39,2          10              195           99               50,8          65              159           71               44,7
300100690 2100690 H/SCHOOL KGOMOTSO                                     2         54              202           88               43,6          14              237           139              58,6          23              281           180              64,1
300017404 2017404 H/SCHOOL MOGOMOTSI                                    1         48              163           113              69,3          49              213           125              58,7          50              234           151              64,5
300101600 2101600 H/SCHOOL PAMPIERSTAD                                  3         48              140           97               69,3          37              220           156              70,9          46              277           201              72,6
300014402 2014402 H/SCHOOL ST BONIFACE                                  5           8             176           146              83,0            4             146           120              82,2            2             137           108              78,8
300016402 2016402 H/SCHOOL TETLANYO                                     2         20              169           104              61,5          20              183           142              77,6          30              221           177              80,1
300012403 2012403 H/SCHOOL THABANE                                      2         23              102           57               55,9          21              126           98               77,8          15              102           71               69,6
300017405 2017405 H/SCHOOL TLHWAHALANG                                  1         19              73            51               69,9          12              92            61               66,3          27              134           79               59,0
300015405 2015405 H/SCHOOL TSHIRELECO                                   2         13              82            47               57,3            2             79            42               53,2            3             118           86               72,9
300012404 2012404 H/SCHOOL VUYOLWETHU                                   2         32              176           112              63,6            8             190           122              64,2          12              255           173              67,8
300014403 2014403 H/SCHOOL WILLIAM PESCOD                               4         29              133           98               73,7          23              170           131              77,1          16              160           129              80,6
300012401 2012401 H/skool Adamantia                                     5           2             75            68               90,7            0             81            78               96,3            2             87            84               96,6
300012301 2012301 H/skool Barkly-Wes                                    3         22              90            26               28,9            8             77            38               49,4          15              74            51               68,9
300011304 2011304 H/skool Delportshoop                                  3         22              69            21               30,4          12              85            51               60,0          11              51            36               70,6
300015401 2015401 H/skool Diamantveld                                   5           0             141           139              98,6            0             128           128              100,0           2             139           137              98,6
300017401 2017401 H/skool Hartswater                                    4           9             69            68               98,6            6             55            52               94,5            2             53            52               98,1
300011402 2011402 H/skool Noord-Kaap                                    5           2             199           182              91,5            0             186           177              95,2            0             199           176              88,4
300015404 2015404 H/skool Pescodia                                      3         29              77            35               45,5          16              83            53               63,9          24              107           71               66,4
300014303 2014303 H/skool Rietvale                                      1         36              108           42               38,9          29              148           64               43,2          49              150           73               48,7
300017402 2017402 H/skool Vaalharts                                     5           0             38            38               100,0           0             39            35               89,7            0             38            38               100,0
300013402 2013402 H/skool Vaalrivier                                    5           2             25            23               92,0            0             25            23               92,0            1             31            30               96,8
300017403 2017403 H/skool Warrenton                                     4           1             15            13               86,7            1             17            15               88,2            0             10            10               100,0
