NatEmis,DataYear,Province,ProvinceCD,Official_Institution_Name,STATUS,Sector,Type_DoE,Phase_PED,Specialisation,EIDistrict,EICircuit,OwnerLand,OwnerBuild,ExDept,Persal_PaypointNo,Persal_ComponentNo,ExamNo,ExamCentre,GIS_Long,GIS_Lat,DMunName,LMunName,Ward_ID,SP_Code,SP_Name,Addressee,Township_Village,Suburb,Town_City,StreetAddress,PostalAddress,Telephone,Section21,Section21_Function,Quintile,NAS,NodalArea,Registration_Date,NoFeeSchool,Urban_Rural,Allocation,DemarcationFrom,DemarcationTo,OldNatEMIS,NewNATEMIS,Learners2022,Educators2022
700110015,2022,GT,7,DALEVIEW SECONDARY SCHOOL,OPEN,PUBLIC,ORDINARY SCHOOL,SECONDARY SCHOOL,ORDINARY,JOHANNESBURG SOUTH,2,PUBLIC,PUBLIC,HOUSE OF REPRESENTATIVES(HOR),911031,911031,8110015,DALEVIEW SECONDARY SCHOOL,27821641,-26405821,CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY,CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY,79800121,798033002,ENNERDALE EXT 9,LEAH NOGE,EXT. 9,ENNERDALE,JOHANNESBURG,"1, C/O VAN ROOYEN CRESCENT & SAMUEL ROAD, EXT. 9, ENNERDALE, JOHANNESBURG",P.O. BOX 400 ENNERDALE 1830,0873301478,YES,ACD,Q2,N,NOT APPLICABLE,,YES,URBAN,1466,GT,NOT MOVED,700110015,700110015,1720,45
700110023,2022,GT,7,ENNERDALE SECONDARY SCHOOL,OPEN,PUBLIC,ORDINARY SCHOOL,SECONDARY SCHOOL,ORDINARY & TECHNICAL,JOHANNESBURG SOUTH,2,PUBLIC,PUBLIC,HOUSE OF REPRESENTATIVES(HOR),911059,911059,8110023,ENNERDALE SECONDARY SCHOOL,27823200301,-2641476068,CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY,CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY,79800121,798033003,ENNERDALE EXT 2,DR. J.A.SOULS,ENNERDALE,,JOHANNESBURG,"3622, AGAAT STREET, ENNERDALE, , JOHANNESBURG",383 ENNERDALE 1826,0118551325,YES,ACD,Q5,N,NOT APPLICABLE,,YES,URBAN,1466,GT,NOT MOVED,700110023,700110023,1810,49
700110031,2022,GT,7,LAWLEY PRIMARY SCHOOL,OPEN,PUBLIC,ORDINARY SCHOOL,PRIMARY SCHOOL,ORDINARY,JOHANNESBURG SOUTH,2,PUBLIC,PUBLIC,HOUSE OF REPRESENTATIVES(HOR),911135,911135,,NOT APPLICABLE,2781045404,-2638458534,CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY,CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY,79800121,798038001,LAWLEY EXT 2,JOSEPH BUTHELEZI,ENNERADALE,JOHANNESBURG,JOHANNESBURG,"461, 3RD AVENUE, ENNERADALE, JOHANNESBURG, JOHANNESBURG",461 3RD AVENUE LAWLEY  1824,0102300061,YES,ACD,Q1,N,NOT APPLICABLE,,YES,URBAN,1466,GT,NOT MOVED,700110031,700110031,2399,60
700110049,2022,GT,7,POSEIDON ROAD PRIMARY SCHOOL,OPEN,PUBLIC,ORDINARY SCHOOL,PRIMARY SCHOOL,ORDINARY,JOHANNESBURG SOUTH,2,PUBLIC,PUBLIC,HOUSE OF REPRESENTATIVES(HOR),911225,911225,,NOT APPLICABLE,2783573731,-2641025464,CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY,CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY,79800007,798033004,ENNERDALE EXT 3,DLAYANE MOSES MALULEKE,ENNERDALE,ENNERDALE,JOHANNESBURG,"2991, POSEIDON STREET, ENNERDALE, ENNERDALE, JOHANNESBURG",143 ENNERDALE 1830,0102300201,YES,ACD,Q5,N,NOT APPLICABLE,,NO,URBAN,735,GT,NOT MOVED,700110049,700110049,1574,43
700110056,2022,GT,7,ALPHA PRIMARY SCHOOL,OPEN,PUBLIC,ORDINARY SCHOOL,PRIMARY SCHOOL,ORDINARY,JOHANNESBURG CENTRAL,2,PUBLIC,PUBLIC,HOUSE OF DELEGATES(HOD),914135,914135,,NOT APPLICABLE,2783307097,-2631137398,CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY,CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY,79800010,798028001,LENASIA EXT 1,HASINA MAHOMED,EXTENSION 1,LENASIA,JOHANNESBURG,"1, WIDGEON & WEAVERBIRD STREETS, EXTENSION 1, LENASIA, JOHANNESBURG",P.O.BOX 3 LENASIA 1820,0118522203,YES,ACD,Q5,N,NOT APPLICABLE,,NO,URBAN,735,GT,NOT MOVED,700110056,700110056,904,29
700110064,2022,GT,7,APEX PRIMARY SCHOOL,OPEN,PUBLIC,ORDINARY SCHOOL,PRIMARY SCHOOL,ORDINARY,JOHANNESBURG SOUTH,3,PUBLIC,PUBLIC,HOUSE OF DELEGATES(HOD),911018,911018,,NOT APPLICABLE,2787104,-26340427,CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY,CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY,79800008,798028013,LENASIA EXT 10,KAZAMULA VINCENT,LENASIA,LENASIA,JOHANNESBURG,"245, VOLTA STREET, LENASIA, LENASIA, JOHANNESBURG",P.O. BOX 606 LENASIA 1820,0105954441,YES,ACD,Q5,N,NOT APPLICABLE,,YES,URBAN,1466,GT,NOT MOVED,700110064,700110064,2223,49
700110072,2022,GT,7,AZARA SECONDARY SCHOOL,OPEN,PUBLIC,ORDINARY SCHOOL,SECONDARY SCHOOL,ORDINARY & TECHNICAL,JOHANNESBURG SOUTH,3,PUBLIC,PUBLIC,HOUSE OF DELEGATES(HOD),911021,911021,8110072,AZARA SECONDARY SCHOOL,278698504,-26330455725,CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY,CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY,79800008,798028006,LENASIA EXT 9,MR EA RAMUDZULI,LENASIA,,JOHANNESBURG,"31, CAPELLA STREET, LENASIA, , JOHANNESBURG",425 LENASIA 1820,0778544833,YES,ACD,Q5,N,NOT APPLICABLE,,YES,URBAN,1466,GT,NOT MOVED,700110072,700110072,1488,47
700110080,2022,GT,7,ALOE RIDGE PRIMARY SCHOOL,OPEN,PUBLIC,ORDINARY SCHOOL,PRIMARY SCHOOL,ORDINARY,JOHANNESBURG SOUTH,3,PUBLIC,PUBLIC,HOUSE OF ASSEMBLY(HOA),911015,911015,,NOT APPLICABLE,2795853389,-2637897294,SEDIBENG DISTRICT MUNICIPALITY,MIDVAAL LOCAL MUNICIPALITY,74202007,761004002,BLIGNAUTSRUS AH,MRS N EBRAHIM,HARTZENBERGFONTEIN,WALKERVILLE,WALKERVILLE,"1, PORTION 1 OF FARM 99, HARTZENBERGFONTEIN, WALKERVILLE, WALKERVILLE",PO BOX 892 WALKERVILLE 1876,0119498939,YES,ACD,Q4,N,NOT APPLICABLE,,NO,URBAN,735,GT,NOT MOVED,700110080,700110080,725,27
700110098,2022,GT,7,FLAMINGO PRIMARY SCHOOL,OPEN,PUBLIC,ORDINARY SCHOOL,PRIMARY SCHOOL,ORDINARY,JOHANNESBURG CENTRAL,2,PUBLIC,PUBLIC,HOUSE OF DELEGATES(HOD),914151,914151,,NOT APPLICABLE,2783466344,-2633106239,CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY,CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY,79800008,798028010,LENASIA EXT 6,MRS. NATALIE NAIDOO,EXTENSION 6,LENASIA,JOHANNESBURG,"01, CNR FLAMINGO STREET &GUM CRESCENT, EXTENSION 6, LENASIA, JOHANNESBURG",633 LENASIA 1820,0118527400,YES,ACD,Q4,N,NOT APPLICABLE,,NO,URBAN,735,GT,NOT MOVED,700110098,700110098,1481,45
700110106,2022,GT,7,GREYVILLE PRIMARY SCHOOL,OPEN,PUBLIC,ORDINARY SCHOOL,PRIMARY SCHOOL,ORDINARY,JOHANNESBURG CENTRAL,2,PUBLIC,PUBLIC,HOUSE OF DELEGATES(HOD),914159,914159,,NOT APPLICABLE,27831869,-26323692,CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY,CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY,79800009,798028009,LENASIA EXT 2,C. N FRANCIS,LENASIA,LENASIA,JOHANNESBURG,"88, ANEMONE, LENASIA, LENASIA, JOHANNESBURG",P.O.BOX 71 LENASIA 1820,0118522343,YES,ACD,Q5,N,NOT APPLICABLE,,NO,URBAN,735,GT,NOT MOVED,700110106,700110106,1351,44
