NatEmis,DataYear,Province,ProvinceCD,Official_Institution_Name,STATUS,Sector,Type_DoE,Phase_PED,Specialisation,EIDistrict,EICircuit,OwnerLand,OwnerBuild,ExDept,Persal_PaypointNo,Persal_ComponentNo,ExamNo,ExamCentre,GIS_Long,GIS_Lat,DMunName,LMunName,Ward_ID,SP_Code,SP_Name,Addressee,Township_Village,Suburb,Town_City,StreetAddress,PostalAddress,Telephone,Section21,Section21_Function,Quintile,NAS,NodalArea,Registration_Date,NoFeeSchool,Urban_Rural,Allocation,DemarcationFrom,DemarcationTo,OldNatEMIS,NewNATEMIS,Learners2022,Educators2022
800000042,2022,MP,8,SITANANI PRIMARY SCHOOL,OPEN,Public,Ordinary School,PRIMARY SCHOOL,NOT APPLICABLE,GERT SIBANDE,MPULUZI,Government,,,201411,201411,0,,"30,77672","-26,28505",GERT SIBANDE DISTRICT MUNICIPALITY,ALBERT LUTHULI LOCAL MUNICIPALITY,7,,,MS PF SIMELANE,SUNCITY AREA,MPULUZI,MPULUZI,"C 376, SUNCITY, MPULUZI, 2335",PO BOX 1160 MPULUZI MAYFLOWER 2335,,YES,.,Q1,,,1996-01-01,.,,,NONE,NOT MOVED,800000042,800000042,482,14
800000067,2022,MP,8,ALLAN MAKHUNGA PRIMARY SCHOOL,OPEN,Public,Ordinary School,PRIMARY SCHOOL,NOT APPLICABLE,GERT SIBANDE,HIGHVELD RIDGE EAST,Government,,,201202,201202,,,"29,07155","-26,52348",GERT SIBANDE DISTRICT MUNICIPALITY,GOVAN MBEKI LOCAL MUNICIPALITY,5,,,MR JT MALINDISA,EMBALENHLE,EMBALENHLE,EMBALENHLE,"5133 LIMPOPO AVENUE, EXT 9, EMBALENHLE, 2285",PO BOX 27 EMBALENHLE EMBALENHLE 2285,0176852767,YES,.,Q4,,,1992-01-01,.,,,NONE,NOT MOVED,800000067,800000067,935,27
800000075,2022,MP,8,ALLENDALE SECONDARY SCHOOL,OPEN,Public,Ordinary School,SECONDARY SCHOOL,DINALEDI,NKANGALA,eMALAHLENI 3,Mine,,,300427,300427,6610001,ALLENDALE SECONDARY,"29,337","-25,926",NKANGALA DISTRICT MUNICIPALITY,EMALAHLENI LOCAL MUNICIPALITY,19,,,MS HM LANGE,VANDYKSDRIFT ROAD,WITBANK,WITBANK,"VAN DYKS DRIFT ROAD, LESEDI VILLAGE, EMALAHLENI, 1035",PO BOX 14013 LERAATSFONTEIN EMALAHLENI 1038,0136844157,YES,.,Q4,,,1994-01-01,.,,,NONE,NOT MOVED,800000075,800000075,417,19
800000091,2022,MP,8,ALPHEUS D NKOSI SECONDARY SCHOOL,OPEN,Public,Ordinary School,SECONDARY SCHOOL,DINALEDI,GERT SIBANDE,BETHAL,Government,,,201336,201336,6609001,AD NKOSI SECONDARY,"29,448","-26,48083",GERT SIBANDE DISTRICT MUNICIPALITY,GOVAN MBEKI LOCAL MUNICIPALITY,24,,,MR SKF ZWANE,EMZINONI,EMZINONI,BETHAL,"3380 EXT2 MTHETHWA STREET , BETHAL, MZINONI TOWN SHIP , 2310",PO BOX 621  BETHAL  2310,0176473943,YES,.,Q4,,,1991-02-01,.,,,NONE,NOT MOVED,800000091,800000091,1250,43
800000141,2022,MP,8,AMANDLA PRIMARY SCHOOL,OPEN,Public,Ordinary School,PRIMARY SCHOOL,NOT APPLICABLE,NKANGALA,eMALAHLENI 3,Farm,,,300406,300406,,,"29,26017","-26,13117",NKANGALA DISTRICT MUNICIPALITY,EMALAHLENI LOCAL MUNICIPALITY,25,,,MS SG MASUKU,BEZUIDENHOUTSRUS,WITBANK,WITBANK,"BEZUIDENHOUT FARM, ALBION, EMALAHLENI, 1039",PO BOX 5740 ALBION EMALAHLENI 1039,0833495319,YES,.,Q2,,,1991-02-01,.,,,NONE,NOT MOVED,800000141,800000141,89,4
800000166,2022,MP,8,AMANZI PRIMARY SCHOOL,OPEN,Public,Ordinary School,PRIMARY SCHOOL,NOT APPLICABLE,GERT SIBANDE,BADPLAAS,Church,,,201701,201701,,,"30,60935","-25,8859",GERT SIBANDE DISTRICT MUNICIPALITY,ALBERT LUTHULI LOCAL MUNICIPALITY,18,,,,BADPLAAS,BADPLAAS,BADPLAAS,"VYGEBOOM DAM, , BADPLAAS, 1190",PO BOX 177  BADPLAAS 1190,0178837960,YES,.,Q2,,,1991-01-01,.,,,NONE,NOT MOVED,800000166,800000166,205,6
800000190,2022,MP,8,THUBELIHLE PRIMARY SCHOOL,OPEN,Public,Ordinary School,COMBINED SCHOOL,FULL SERVICE,GERT SIBANDE,VOLKSRUST,Government,,,200642,200642,6602001,AMERSFOORT COMBINED,"29,84283","-27,01267",GERT SIBANDE DISTRICT MUNICIPALITY,PIXLEY KA ISAKA SEME LOCAL MUNICIPALITY,7,,,MS KC MALINGA,EZAMOKUHLE TOWNSHIP,AMERSFOORT,AMERSFOOT,"212 Pholangwane Street, eZAMOKUHLE, AMERSFOORT, 2490",PO BOX 14  AMERSFOORT 2490,0177531610,YES,.,Q1,,,1991-01-01,.,,,NONE,NOT MOVED,800000190,800000190,1067,33
800000240,2022,MP,8,ANDISA PRIMARY SCHOOL,OPEN,Public,Ordinary School,PRIMARY SCHOOL,NOT APPLICABLE,NKANGALA,WELTEVREDE,Government,,,301502,301502,,,"29,0091","-25,11712",NKANGALA DISTRICT MUNICIPALITY,DR JS MOROKA LOCAL MUNICIPALITY,9,,,MS ML MBONANI,MABUYENI,SIYABUSWA,SIYABUSWA,"320 MABUYENI SECTION, SIYABUSWA, SIYABUSWA, 472",PRIVATE BAG X 4004 SIYABUSWA SIYABUSWA 0472,0139417039,YES,.,Q1,,,1996-01-01,.,,,NONE,NOT MOVED,800000240,800000240,253,6
800000273,2022,MP,8,ANDRIES MASHILE PRIMARY SCHOOL,OPEN,Public,Ordinary School,PRIMARY SCHOOL,NOT APPLICABLE,NKANGALA,MMAMETLHAKE,Other,,,301211,301211,,,"28,508","-25,1475",NKANGALA DISTRICT MUNICIPALITY,DR JS MOROKA LOCAL MUNICIPALITY,28,,,MR SS MODISE,PHAKERATLHAGANA,BAMOKGOKO,BAMOKGOKO,"20090 Phake Ratlhagane, BA-MOKGOKO, Hammanskraal, 432",PO BOX 34 BA-MOKGOKO PHAKE RATLHAGANE 0432,0716981215,YES,.,Q3,,,1996-01-01,.,,,NONE,NOT MOVED,800000273,800000273,662,17
800000281,2022,MP,8,BESILINDILE PRIMARY SCHOOL,OPEN,Public,Ordinary School,PRIMARY SCHOOL,NOT APPLICABLE,NKANGALA,eMALAHLENI 2,Government,,,300301,300301,,,"29,11774","-25,83848",NKANGALA DISTRICT MUNICIPALITY,EMALAHLENI LOCAL MUNICIPALITY,1,,,MR J MABOGOANE,EXTENSION 4,EMALAHLENI,WITBANK,"4838 HLALANIKAHLE, PHASE 4, WITBANK, 1039",PO BOX 6383  WITBANK 1035,0136987108,YES,.,Q2,,,1994-01-01,.,,,NONE,NOT MOVED,800000281,800000281,1226,32
800000307,2022,MP,8,ARBOR PRIMARY SCHOOL,OPEN,Public,Ordinary School,PRIMARY SCHOOL,NOT APPLICABLE,NKANGALA,VICTOR KHANYE,Farm,,,300102,300102,,,"28,88733","-26,04183",NKANGALA DISTRICT MUNICIPALITY,VICTOR KHANYE LOCAL MUNICIPALITY,7,,,MR RP MOLALATHOKO,VLAKVARKFONTEIN FARM,DELMAS,DELMAS,"PORTION 5 VLAKVAFONTEIN, DELMAS, Delmas, 2210",PO BOX 2042 DELMAS DELMAS 2210,0716998023,YES,.,Q1,,,1991-02-01,.,,,NONE,NOT MOVED,800000307,800000307,380,13
800000349,2022,MP,8,ARNOT COLLIERY PRIMARY SCHOOL,OPEN,Public,Ordinary School,PRIMARY SCHOOL,NOT APPLICABLE,NKANGALA,STEVE TSHWETE 2,Mine,,,302201,302201,,,"29,78033","-25,93167",NKANGALA DISTRICT MUNICIPALITY,STEVE TSHWETE LOCAL MUNICIPALITY,10,,,MS NR MAHLANGU,COLLIERY RIETKUIL,RIETKUIL,RIETKUIL,"STAND NO 183, ARNOT, MAFUBE/SIKHULULIWE VILLAGE, 1051",PO BOX 176 RIETKUIL ARNOT 1097,0827107691,YES,.,Q2,,,1991-02-01,.,,,NONE,NOT MOVED,800000349,800000349,245,9
