NatEmis,DataYear,Province,ProvinceCD,Official_Institution_Name,STATUS,Sector,Type_DoE,Phase_PED,Specialisation,EIDistrict,EICircuit,OwnerLand,OwnerBuild,ExDept,Persal_PaypointNo,Persal_ComponentNo,ExamNo,ExamCentre,GIS_Long,GIS_Lat,DMunName,LMunName,Ward_ID,SP_Code,SP_Name,Addressee,Township_Village,Suburb,Town_City,StreetAddress,PostalAddress,Telephone,Section21,Section21_Function,Quintile,NAS,NodalArea,Registration_Date,NoFeeSchool,Urban_Rural,Allocation,DemarcationFrom,DemarcationTo,OldNatEMIS,NewNATEMIS,Learners2022,Educators2022
600100003,2022,NW,6,A.G MALEBE INTERMEDIATE SCHOOL,OPEN,PUBLIC,ORDINARY SCHOOL,INTERMEDIATE SCHOOL,ORDINARY SCHOOL,NGAKA MODIRI MOLEMA,BODIBE,Govt,Trust Land,NEW EDUCATION DEPARTMENT,961704,961704,NOT APPLICABLE,NOT APPLICABLE,"25,749213","-26,127367",NGAKA MODIRI MOLEMA DISTRICT MUNICIPALITY,DITSOBOTLA LOCAL MUNICIPALITY ,63803027,,,MOGALE Ziphora Magdeline,ITSOSENG,ITSOSENG,ITSOSENG,"STAND 10771 SPRINGBOKPAN VILLAGE, ITSOSENG, ITSOSENG, 2747",NULL,0810442190,YES,NULL,Q2,NO,.,,.,,NULL,NONE,Not Moved,600100003,600100003,283,10
600100006,2022,NW,6,AARON LETSAPA PRIMARY,OPEN,PUBLIC,ORDINARY SCHOOL,PRIMARY SCHOOL,COMPREHENSIVE,NGAKA MODIRI MOLEMA,KRAAIMA,Govt,Govt,NEW EDUCATION DEPARTMENT,960101,960101,NOT APPLICABLE,NOT APPLICABLE,"25,30953","-26,283101",NGAKA MODIRI MOLEMA DISTRICT MUNICIPALITY,RATLOU LOCAL MUNICIPALITY,63801011,,,RAMASODI Isaac Makgapeetsa,MAFIKENG,KRAAIPAN,MAFIKENG,"10327 MAHUKUBUNG SECTION, KRAAIPAN, MAFIKENG, 2747","P.O.BOX 280,KRAAIPAN,2747",0646396068,YES,.,Q3,NO,.,,.,,.,NONE,Not Moved,600100006,600100006,536,17
600100009,2022,NW,6,ABONTLE PRIMARY SCHOOL,OPEN,PUBLIC,ORDINARY SCHOOL,PRIMARY SCHOOL,COMPREHENSIVE,DR KENNETH KAUNDA,MEEPONG,Govt,Govt,NEW EDUCATION DEPARTMENT,82552,82552,NOT APPLICABLE,NOT APPLICABLE,"26,873942","-26,85067",DR KENNETH KAUNDA DISTRICT MUNICIPALITY,MATLOSANA LOCAL MUNICIPALITY,64003005,,,DIKGANG Rakgaje Lazarus,STILFONTEIN,KHUMA LOCATION,STILFONTEIN,"3365 18th street, KHUMA, STILFONTEIN, 3747","P.O.BOX 649,STILFONTEIN,2550",0180111745,YES,NOT APPLICABLE,Q3,NO,.,,.,,.,NONE,Not Moved,600100009,600100009,713,22
600100010,2022,NW,6,Academy for Christian Education,OPEN,INDEPENDENT,ORDINARY SCHOOL,SECONDARY SCHOOL,COMPREHENSIVE,BOJANALA,DITLOU,Trust Land,Trust Land,BOPHUTATSWANA(BOP),,,9111003,ACADAMY FOR CHRISTIAN EDUCATIO,"27,773","-25,63467",BOJANALA DISTRICT MUNICIPALITY,MADIBENG LOCAL MUNICIPALITY,63702023,,,FRANCIS Henry,BRITS,.,BRITS,"REITZ EXT., , BRITS, 4747","P.O.BOX 4259,BRITS,0250",0120014369,NO,NOT APPLICABLE,NOT APPLICABLE,NO,.,,NOT APPLICABLE,,NOT APPLICABLE,NONE,Not Moved,600100010,600100010,1309,58
600100012,2022,NW,6,AGAPE CHRISTIAN SCHOOL,OPEN,INDEPENDENT,ORDINARY SCHOOL,COMBINED SCHOOL,ORDINARY SCHOOL,DR KENNETH KAUNDA,RETLAKGONA,Church,Church,NEW EDUCATION DEPARTMENT,,,NOT APPLICABLE,NOT APPLICABLE,"27,08667","-26,723",DR KENNETH KAUNDA DISTRICT MUNICIPALITY,JB MARKS LOCAL MUNICIPALITY,64002004,,,WILTERS Elande,Potchefstroom,Potchefstroom,Potchefstroom,"192 Beyers Naude Street, , Potchefstroom, 2747",NULL,0182948621,NO,NOT APPLICABLE,NOT APPLICABLE,NO,N/A,,NOT APPLICABLE,,NOT APPLICABLE,NONE,Not Moved,600100012,600100012,111,8
600100013,2022,NW,6,AGELELANG THUTO PRIMARY,OPEN,PUBLIC,ORDINARY SCHOOL,PRIMARY SCHOOL,COMPREHENSIVE,DR RUTH S MOMPATI,MOROKWENG 2,Trust Land,Govt,DEPARTMENT OF EDUCATION AND TRAINING(DET),961629,961629,NOT APPLICABLE,NOT APPLICABLE,"23,464588","-26,165785",DR RUTH SEGOMOTSI MOMPATI DISTRICT MUNICIPALITY,KAGISANO-MOLOPO LOCAL MUNICIPALITY,63901012,,,PHETLA Johannes,MANYELEDI,MANYELEDI VILLAGE,MOROKWENG,"STAND 74E, MANYELEDI VILLAGE, MANYELEDI, 2747","PRIVATE BAG X1016,MOROKWENG,8614",0710948270,YES,NOT APPLICABLE,Q2,NO,.,,.,,.,NONE,Not Moved,600100013,600100013,65,4
600100014,2022,NW,6,AGISANANG PRIMARY SCHOOL,OPEN,PUBLIC,ORDINARY SCHOOL,PRIMARY SCHOOL,COMPREHENSIVE,NGAKA MODIRI MOLEMA,DELAREYVILLE,Govt,Govt,NEW EDUCATION DEPARTMENT,83204,83204,NOT APPLICABLE,NOT APPLICABLE,"25,823303","-26,5593",NGAKA MODIRI MOLEMA DISTRICT MUNICIPALITY,TSWAING LOCAL MUNICIPALITY,63802008,,,PETLELE Dimakatso Debora,Agisanang,AGISANANG,SANNIESHOF,"217 Thabo Street, Agisanang Township, Agisanang, 6747","P.O.BOX 79,SANNIESHOF,2760",0180110003,YES,.,Q2,NO,.,,.,,.,NONE,Not Moved,600100014,600100014,930,28
600100015,2022,NW,6,Agonkitse Primary School,OPEN,PUBLIC,ORDINARY SCHOOL,PRIMARY SCHOOL,COMPREHENSIVE,BOJANALA,DINALEDI,Trust Land,Govt,DEPARTMENT OF EDUCATION AND TRAINING(DET),961841,961841,NOT APPLICABLE,NOT APPLICABLE,"26,841089","-25,303003",BOJANALA DISTRICT MUNICIPALITY,MOSES KOTANE LOCAL MUNICIPALITY,63705025,,,RAKOBANE Julia,RUSTENBURG,BAPO 2,RUSTENBURG,"40043 MERITING SECTION, BAPO 2, RUSTENBURG, 1747","P.O.BOX 97,BAPO,0337",0837625941,YES,NOT APPLICABLE,Q2,NO,.,,.,,.,NONE,Not Moved,600100015,600100015,384,15
600100016,2022,NW,6,Akademie Vir Christelik Volks Eie Onderwys Derby,OPEN,INDEPENDENT,ORDINARY SCHOOL,SECONDARY SCHOOL,COMPREHENSIVE,BOJANALA,KGETLENG RIVER,Private,Private,NEW EDUCATION DEPARTMENT,,,9409003,CVO AKADEMIE DERBY,"27,06833","-25,97223",BOJANALA DISTRICT MUNICIPALITY,KGETLENGRIVIER LOCAL MUNICIPALITY,63704003,,,KRUGER Susara M.S.J.,Derby,Derby,KGETLENGRIVIER,"c/o Bernard street & JAmeson road 508, Derby, Derby, 2747","P.O.BOX 111,DERBY,0347",0145492018,NO,NOT APPLICABLE,NOT APPLICABLE,NO,.,,NOT APPLICABLE,,NOT APPLICABLE,NONE,Not Moved,600100016,600100016,50,16
600100018,2022,NW,6,AKOFANG PRIMARY SCHOOL,OPEN,PUBLIC,ORDINARY SCHOOL,PRIMARY SCHOOL,COMPREHENSIVE,DR KENNETH KAUNDA,REFENTSE,Govt,Govt,DEPARTMENT OF EDUCATION AND TRAINING(DET),82126,82126,NOT APPLICABLE,NOT APPLICABLE,"26,6047","-26,893583",DR KENNETH KAUNDA DISTRICT MUNICIPALITY,MATLOSANA LOCAL MUNICIPALITY,64003020,,,LEOTLELA Lehlohonolo John,KLERKSDORP,JOUBERTON,REFENTSE,"1851 TSELANTLE STREET, JOUBERTON, KLERKSDORP, 6560747","P.O.BOX 8101,JOUBERTON,2574",0184652889,YES,NOT APPLICABLE,Q3,NO,.,,.,,.,NONE,Not Moved,600100018,600100018,895,27
