NatEmis,DataYear,Province,ProvinceCD,Official_Institution_Name,STATUS,Sector,Type_DoE,Phase_PED,Specialisation,EIDistrict,EICircuit,OwnerLand,OwnerBuild,ExDept,Persal_PaypointNo,Persal_ComponentNo,ExamNo,ExamCentre,GIS_Long,GIS_Lat,DMunName,LMunName,Ward_ID,SP_Code,SP_Name,Addressee,Township_Village,Suburb,Town_City,StreetAddress,PostalAddress,Telephone,Section21,Section21_Function,Quintile,NAS,NodalArea,Registration_Date,NoFeeSchool,Urban_Rural,Allocation,DemarcationFrom,DemarcationTo,OldNatEMIS,NewNATEMIS,Learners2022,Educators2022
300011224,2022,NC,3,NEW PARK PRIMARY SCHOOL,OPEN,INDEPENDENT,ORDINARY SCHOOL,PRIMARY SCHOOL,NOT APPLICABLE,FRANCES BAARD (FB),F1,INDEPENDENT,TO BE UPDATED,N/A,NULL,NULL,,,,,FRANCES BAARD DISTRICT MUNICIPALITY,SOL PLAATJIE LOCAL MUNICIPALITY,,,,,KIMBERLEY,NEW PARK,KIMBERLEY,,,,,,,,,,,,,NONE,NOT MOVED,300011224,300011224,80,8
300013217,2022,NC,3,HARTSWATER CHRISTIAN SCHOOL,OPEN,INDEPENDENT,ORDINARY SCHOOL,PRIMARY SCHOOL,ORDINARY SCHOOL,FRANCES BAARD (FB),F4,INDEPENDENT,TO BE UPDATED,N/A,NULL,NULL,,,,,FRANCES BAARD DISTRICT MUNICIPALITY,PHOKWANE LOCAL MUNICIPALITY,,,,,,,HARSTWATER,,,825091894,,,,,,,,,,NONE,NOT MOVED,300013217,300013217,112,14
300051303,2022,NC,3,KURUMAN MONTESSORI TREE COLLEGE,OPEN,INDEPENDENT,ORDINARY SCHOOL,PRIMARY SCHOOL,,JOHN TAOLO GAETSEWE (JTG),K1,INDEPENDENT,INDEPENDENT,N/A,NULL,NULL,,,,,,,,,,,NULL,NULL,NULL,,,,,,,,,,,,,NONE,NOT MOVED,300051303,300051303,80,3
300011204,2022,NC,3,ISAGO PRIMARY SCHOOL,OPEN,PUBLIC,ORDINARY SCHOOL,PRIMARY SCHOOL,ORDINARY SCHOOL,FRANCES BAARD (FB),F5,DOE NORTHERN CAPE,PUBLIC,DEPARTMENT OF EDUCACTION & TRAINING(DET),74441,970265,.,Isago Primary School,-28.7158,24.7247,FRANCES BAARD DISTRICT MUNICIPALITY,SOL PLAATJIE LOCAL MUNICIPALITY,30901011,.,.,MV  SEBATI,VERGENOEG,MANKURWANE,KIMBERLEY,"74 STRANGER NKOSI STREET, MANKURWANE, KIMBERLEY, 8345",PO BOX 8037 KIMBERLEY 8335,538720436,YES,AD,Q2,NO,NOT APPLICABLE,,NO,URBAN,,NONE,NOT MOVED,300011204,300011204,1076,35
300011219,2022,NC,3,KIMBERLEY ISLAMIC SCHOOL,OPEN,INDEPENDENT,ORDINARY SCHOOL,PRIMARY SCHOOL,ORDINARY SCHOOL,FRANCES BAARD (FB),F2,INDEPENDENT,INDEPENDENT,N/A,.,.,.,kIMBERLEY ISLAMIC SCHOOL,-28.71913,24.7247,FRANCES BAARD DISTRICT MUNICIPALITY,SOL PLAATJIE LOCAL MUNICIPALITY,.,.,.,N AYSEN,.,MOGHUL PARK,KIMBERLEY,"186 PHAKAMILA MABIDJA RD Kimberley, 8300",PO BOX 1218 KIMBERLEY 8300,538326259,.,.,NOT APPLICABLE,.,.,22-Apr-08,.,.,,NONE,NOT MOVED,300011219,300011219,141,16
300011220,2022,NC,3,RYVA ACADEMY OF LEARNING,OPEN,INDEPENDENT,ORDINARY SCHOOL,PRIMARY SCHOOL,NOT APPLICABLE,FRANCES BAARD (FB),F1,INDEPENDENT,INDEPENDENT,N/A,.,.,.,.,.,.,FRANCES BAARD DISTRICT MUNICIPALITY,SOL PLAATJIE LOCAL MUNICIPALITY,.,.,.,M THOMAS,NEW PARK,NEW PARK,KIMBERLEY,58A BLACK STREET,PO BOX 3102 KIMBERLEY 8301,799533344,.,.,NOT APPLICABLE,.,.,,.,.,,NONE,NOT MOVED,300011220,300011220,85,8
300011221,2022,NC,3,OREL PRIVATE ACADEMY,OPEN,INDEPENDENT,ORDINARY SCHOOL,PRIMARY SCHOOL,NOT APPLICABLE,FRANCES BAARD (FB),F1,Church,INDEPENDENT,N/A,.,.,.,.,.,.,FRANCES BAARD DISTRICT MUNICIPALITY,SOL PLAATJIE LOCAL MUNICIPALITY,.,.,.,MC SEBASTIAN,NEW PARK,NEW PARK,KIMBERLEY,13 BIRBECK AVENUE NEW PARK KIMBERLEY 8300,13 BIRBECK AVENUE NEW PARK KIMBERLEY 8300,617793266,.,.,NOT APPLICABLE,.,.,16-Sep-16,.,.,,NONE,NOT MOVED,300011221,300011221,159,9
300011302,2022,NC,3,WESLAAN SEKONDÊRE SKOOL,OPEN,PUBLIC,ORDINARY SCHOOL,SECONDARY SCHOOL,ORDINARY SCHOOL,PIXLEY KA SEME (PXL),P5,DOE NORTHERN CAPE,PUBLIC,HOUSE OF REPRESENTATIVES(HOR),225430,970256,2011302,H/SKOOL WESLAAN,-29.04676,23.75768,PIXLEY KA SEME DISTRICT MUNICIPALITY,SIYANCUMA LOCAL MUNICIPALITY,30708004,.,., G.G. Thys,.,BREIPAAL,DOUGLAS,"1451 WES AVENUE, BREIPAAL, DOUGLAS, 8730",PO BOX 450 DOUGLAS 8730,532981260,YES,ABCD,Q4,NO,NOT APPLICABLE,,NO,RURAL,,NONE,NOT MOVED,300011302,300011302,656,26
300011404,2022,NC,3,BONGANI  SECONDARY SCHOOL,OPEN,PUBLIC,ORDINARY SCHOOL,INTERMEDIATE SCHOOL,ORDINARY SCHOOL,PIXLEY KA SEME (PXL),P5,DOE NORTHERN CAPE,PUBLIC,N/A,.,.,2011404,BONGANI HIGH SCHOOL,-29.07056,23.77591,PIXLEY KA SEME DISTRICT MUNICIPALITY,SIYANCUMA LOCAL MUNICIPALITY,30708003,.,.,AJP  LOUW,.,BONGANI,DOUGLAS,"12 MQOMO STREET, BONGANI, DOUGLAS, 8730",PO BOX 249 DOUGLAS 8730,532985000,YES,ABCD,Q2,NO,NOT APPLICABLE,,YES,RURAL,,NONE,NOT MOVED,300011404,300011404,971,31
300011405,2022,NC,3,TSWELOPELE SECONDARY SCHOOL (Matla-a-Kitso),OPEN,INDEPENDENT,ORDINARY SCHOOL,SECONDARY SCHOOL,ORDINARY SCHOOL,FRANCES BAARD (FB),F3,DOE NORTHERN CAPE,PUBLIC,N/A,.,.,.,TSWELOPELE CORRECTIONAL CENTRE,-28.74331,24.71424,FRANCES BAARD DISTRICT MUNICIPALITY,SOL PLAATJIE LOCAL MUNICIPALITY,.,.,.,. NAMPALA,.,TSWELOPELE,KIMBERLEY,8301,PRIVATE BAG X 6008 KIMBERLEY 8301,833111276,.,.,NOT APPLICABLE,.,.,,.,.,,NONE,NOT MOVED,300011405,300011405,71,13
