NatEmis,DataYear,Province,ProvinceCD,Official_Institution_Name,STATUS,Sector,Type_DoE,Phase_PED,Specialisation,EIDistrict,EICircuit,OwnerLand,OwnerBuild,ExDept,Persal_PaypointNo,Persal_ComponentNo,ExamNo,ExamCentre,GIS_Long,GIS_Lat,DMunName,LMunName,Ward_ID,SP_Code,SP_Name,Addressee,Township_Village,Suburb,Town_City,StreetAddress,PostalAddress,Telephone,Section21,Section21_Function,Quintile,NAS,NodalArea,Registration_Date,NoFeeSchool,Urban_Rural,Allocation,DemarcationFrom,DemarcationTo,OldNatEMIS,NewNATEMIS,Learners2022,Educators2022
100000720,2022,WC,1,DE DOORNS PRIMARY SCHOOL,Open,PUBLIC,ORDINARY SCHOOL,PRIMARY SCHOOL,,CAPE WINELANDS,3,,,,,61139,,,"19,6817169189453","-33,4825973510742",CAPE WINELANDS,BREEDE VALLEY,10205002,,,MR A. B NONE,,DE DOORNS,DE DOORNS,29 ALBERT LUTHULI STREET,ALBERT LUTHULI STREET,,,,Q1,,,,,,,WC,Not Moved,100000720,100000720,1253,35
100000733,2022,WC,1,EDUBLOX DURBANVILLE,Open,INDEPENDENT,ORDINARY SCHOOL,COMBINED SCHOOL,,METRO NORTH,7,,,,,NULL,,,"18,682502746582","-33,8425788879395",CITY OF CAPE TOWN,CITY OF CAPE TOWN,19100103,,,MRS J Foster,,SONSTRAAL HEIGHTS,CITY OF CAPE TOWN,14 WAGNER WAY,14 WAGNER WAY,,,,.,,,,,,,WC,Not Moved,100000733,100000733,25,3
100000734,2022,WC,1,SANDVELD LS,Open,PUBLIC,ORDINARY SCHOOL,PRIMARY SCHOOL,,WEST COAST,2,,,,,61141,,,"18,5365943908691","-32,4812164306641",WEST COAST,BERGRIVIER,10103005,,,MR B JULIES,,REDELINGHUYS,REDELINGHUYS,SKOOLSTRAAT,POSBUS 6,,,,Q5,,,,,,,WC,Not Moved,100000734,100000734,188,9
100000737,2022,WC,1,METANOIA SILVER OAK,Open,INDEPENDENT,ORDINARY SCHOOL,PRIMARY SCHOOL,,METRO NORTH,9,,,,,NULL,,,"18,5047950744629","-33,8369827270508",CITY OF CAPE TOWN,CITY OF CAPE TOWN,19100113,,,MS L BOSHOFF,,TABLE VIEW,CITY OF CAPE TOWN,153 PENTZ DRIVE,153 PENTZ DRIVE,,,,.,,,,,,,WC,Not Moved,100000737,100000737,18,8
100000739,2022,WC,1,SUNRIDGE CIRCLE HIGH SCHOOL,Open,PUBLIC,ORDINARY SCHOOL,SECONDARY SCHOOL,,METRO NORTH,9,,,,,61142,,,"18,5145263671875","-33,8285636901855",CITY OF CAPE TOWN,CITY OF CAPE TOWN,19100113,,,MS L Claassens,,SUNRIDGE,CITY OF CAPE TOWN,C/O CIRCLE ROAD & GIE ROAD,C/O CIRCLE ROAD & GIE ROAD,,,,Q4,,,,,,,WC,Not Moved,100000739,100000739,322,17
100000740,2022,WC,1,MFULENI TECHNICAL ACADEMY,Open,PUBLIC,ORDINARY SCHOOL,SECONDARY SCHOOL,,METRO NORTH,6,,,,,61143,,,"18,6860084533691","-34,010612487793",CITY OF CAPE TOWN,CITY OF CAPE TOWN,19100016,,,MR SG KUZE,,MFULENI,CITY OF CAPE TOWN,10 INKONJANE STREET,10 INKONJANE STREET,,,,Q3,,,,,,,WC,Not Moved,100000740,100000740,988,25
100000743,2022,WC,1,ABIENCE ACADEMY,Open,INDEPENDENT,ORDINARY SCHOOL,PRIMARY SCHOOL,,METRO EAST,4,,,,,NULL,,,"18,8350944519043","-34,1195297241211",CITY OF CAPE TOWN,CITY OF CAPE TOWN,19100085,,,MS K POOLE,,STRAND,CITY OF CAPE TOWN,C/O NG CHURCH &,C/O NG CHURCH &,,,,.,,,,,,,WC,Not Moved,100000743,100000743,59,3
100000744,2022,WC,1,LAERSKOOL MOUNTVIEW,Open,INDEPENDENT,ORDINARY SCHOOL,PRIMARY SCHOOL,,EDEN AND CENTRAL KAROO,3,,,,,NULL,,,"22,4615840911865","-33,9649772644043",CENTRAL KAROO,GEORGE,10404019,,,MS R KOEKEMOER,,GEORGE CENTRAL,GEORGE,91 MITCHELL STREET,91 MITCHELL STREET,,,,.,,,,,,,WC,Not Moved,100000744,100000744,24,3
100000764,2022,WC,1,FAIRDALE NO.2 HIGH SCHOOL,Open,PUBLIC,ORDINARY SCHOOL,SECONDARY SCHOOL,,METRO NORTH,1,,,,,61144,,,"18,6723670959473","-33,9791412353516",CITY OF CAPE TOWN,CITY OF CAPE TOWN,19100108,,,MRS F Qawana,,SILVERSANDS,CITY OF CAPE TOWN,HOCKENHEIM DRIVE,HOCKENHEIM DRIVE,,,,Q4,,,,,,,WC,Not Moved,100000764,100000764,412,10
100000765,2022,WC,1,LIFE CHRISTIAN ACADEMY,Open,INDEPENDENT,ORDINARY SCHOOL,PRIMARY SCHOOL,,EDEN AND CENTRAL KAROO,3,,,,,NULL,,,"22,4752864837646","-33,9875679016113",CENTRAL KAROO,GEORGE,10404017,,,MS C DU PREEZ,,CONVILLE,GEORGE,FISKAAL STREET,FISKAAL STREET,,,,.,,,,,,,WC,Not Moved,100000765,100000765,236,12
100000766,2022,WC,1,BOTHASIG HIGH SCHOOL,Open,PUBLIC,ORDINARY SCHOOL,SECONDARY SCHOOL,,METRO NORTH,8,,,,,61146,,,"18,5462894439697","-33,8534202575684",CITY OF CAPE TOWN,CITY OF CAPE TOWN,19100005,,,MR P SONN,,BOTHASIG,CITY OF CAPE TOWN,ADJACENT TO PLATTEKLOOF ROAD &,ADJ. TO PLATTEKLOOF RD &,,,,Q5,,,,,,,WC,Not Moved,100000766,100000766,163,10
100000767,2022,WC,1,FISANTEKRAAL NO.2 HIGH SCHOOL,Open,PUBLIC,ORDINARY SCHOOL,SECONDARY SCHOOL,,METRO NORTH,7,,,,,61145,,,"18,7213478088379","-33,7834930419922",CITY OF CAPE TOWN,CITY OF CAPE TOWN,19100105,,,MR MD WILLIAMS,,GREENVILLE GARDEN CITY,CITY OF CAPE TOWN,LORDS WALK,LORDS WALK,,,,Q1,,,,,,,WC,Not Moved,100000767,100000767,145,10
100000770,2022,WC,1,EDUDEN,Open,INDEPENDENT,ORDINARY SCHOOL,PRIMARY SCHOOL,,OVERBERG,2,,,,,NULL,,,"19,458080291748","-34,4415893554688",OVERBERG,OVERSTRAND,10302011,,,MRS J ADENDORFF,,STANFORD,STANFORD,36 DANEEL STREET,36 DANEEL STREET,,,,.,,,,,,,WC,Not Moved,100000770,100000770,29,3
100000773,2022,WC,1,NEW VREDENBURG HIGH SCHOOL,Open,PUBLIC,ORDINARY SCHOOL,SECONDARY SCHOOL,,WEST COAST,3,,,,,61150,,,"17,9830913543701","-32,9058990478516",WEST COAST,SALDANHA BAY,10104008,,,MR WC VRAAGOM,,TIERKLOOF,VREDENBURG,1 HAARLEM STREET,1 HAARLEM STREET,,,,Q5,,,,,,,WC,Not Moved,100000773,100000773,67,8
100000775,2022,WC,1,LONDON VILLAGE CHRISTIAN ACADEMY,Open,INDEPENDENT,ORDINARY SCHOOL,COMBINED SCHOOL,,METRO SOUTH,4,,,,,NULL,,,"18,5791358947754","-34,0264320373535",CITY OF CAPE TOWN,CITY OF CAPE TOWN,19100075,,,MRS A CARELSE,,MITCHELLS PLAIN CBD,CITY OF CAPE TOWN,3 BUCKINGHAM WAY,3 BUCKINGHAM WAY,,,,.,,,,,,,WC,Not Moved,100000775,100000775,14,1
100000029,2022,WC,1,GAIA WALDORF SCHOOL,Open,INDEPENDENT,ORDINARY SCHOOL,PRIMARY SCHOOL,NOT APPLICABLE,METRO CENTRAL,3,GOVERMENT,UNKNOWN,,,N/A,NULL,NULL,"18,489704","-33,940894",CITY OF CAPE TOWN METROPOLITAN MUNICIPALITY,City of Cape Town Metropolitan Municipality,19100053,,,MRS G  FEITER,CITY OF CAPE TOWN,OBSERVATORY,CITY OF CAPE TOWN,"OUDE MOLEN ECO VILLAGE, ALEXANDRA ROAD, PINELANDS, CITY OF CAPE TOWN, 7405","PO BOX 13416, MOWBRAY, , 7705",0214470546,Y,,Q5,,,,Fee Charging,,,WC,Not Moved,100000029,100000029,127,14
100000030,2022,WC,1,DARUN NA'IM ACADEMY,Open,INDEPENDENT,ORDINARY SCHOOL,COMBINED SCHOOL,NOT APPLICABLE,METRO SOUTH,2,PRIVATE COMPANY,UNKNOWN,,,N/A,1009984,1009984,"18,470817","-34,012345",CITY OF CAPE TOWN METROPOLITAN MUNICIPALITY,City of Cape Town Metropolitan Municipality,19100063,,,MS AMINA  BAGUS-DU TOIT,CITY OF CAPE TOWN,WYNBERG,CITY OF CAPE TOWN,"MARS ROAD, WYNBERG, , CITY OF CAPE TOWN, 7800","15 Mars Road, Wynberg, , 7800",0217615331,Y,,NOT APPLICABLE,,,,Fee Charging,,,WC,Not Moved,100000030,100000030,122,15
100000031,2022,WC,1,ATLANTIC BEACH COLLEGE,Open,INDEPENDENT,ORDINARY SCHOOL,PRIMARY SCHOOL,NOT APPLICABLE,METRO NORTH,10,PRIVATE,UNKNOWN,,,N/A,NULL,NULL,"18,43906","-33,7296",CITY OF CAPE TOWN METROPOLITAN MUNICIPALITY,City of Cape Town Metropolitan Municipality,19100023,,,MRS RF  RESCHKE,CITY OF CAPE TOWN,MELKBOSCH STRAND,CITY OF CAPE TOWN,"THE MIRAMAR CENTRE, BEACH ROAD, MELKBOSSTRAND, CITY OF CAPE TOWN, 7441","PO BOX 11102, BLOUBERGRANT, , 7443",,Y,,Q2,,,,Fee Charging,,,WC,Not Moved,100000031,100000031,36,5
100000036,2022,WC,1,KNYSNA CHRISTIAN MISSION SCHOOL,Open,INDEPENDENT,ORDINARY SCHOOL,PRIMARY SCHOOL,NOT APPLICABLE,EDEN AND CENTRAL KAROO,4,PRIVATE,UNKNOWN,,,N/A,NULL,NULL,"23,045024","-34,035136",GARDEN ROUTE DISTRICT MUNICIPALITY,Knysna Local Municipality,10408010,,,MR JURIE  GROENEWALD,KNYSNA,KNYSNA CENTRAL,KNYSNA,"MAIN ROAD, MELVILLE CENTRE, KNYSNA, KNYSNA, 6570","Melville Centre, 16 Main Road, Knysna, 6571",0443821381,Y,,Q2,,,,Fee Charging,,,WC,Not Moved,100000036,100000036,118,9
100000037,2022,WC,1,"EAGLE'S NEST MINISTRIES, SA",Open,INDEPENDENT,ORDINARY SCHOOL,PRIMARY SCHOOL,NOT APPLICABLE,METRO EAST,6,PRIVATE,UNKNOWN,,,N/A,NULL,NULL,"18,743455","-33,853628",CITY OF CAPE TOWN METROPOLITAN MUNICIPALITY,City of Cape Town Metropolitan Municipality,19100101,,,MR B  Jamakanga,CITY OF CAPE TOWN,WALLACEDENE,CITY OF CAPE TOWN,"TAMBO STREET, PHASE 5, WALLACEDENE, CITY OF CAPE TOWN, 7570","7 Lazio Rd, Silver Oaks Estate, BRACKENFELL, 7560",,Y,,Q5,,,,Fee Charging,,,WC,Not Moved,100000037,100000037,444,19
100000038,2022,WC,1,SILVERMINE ACADEMY,Open,INDEPENDENT,ORDINARY SCHOOL,SECONDARY SCHOOL,NOT APPLICABLE,METRO SOUTH,9,OTHER: SPECIFY,UNKNOWN,,,N/A,NULL,NULL,"18,3984","-34,121929",CITY OF CAPE TOWN METROPOLITAN MUNICIPALITY,City of Cape Town Metropolitan Municipality,19100069,,,MRS M  PISTORIUS,CITY OF CAPE TOWN,SUNVALLEY,CITY OF CAPE TOWN,"BRIGANTINE AVENUE, SUN VALLEY, , CITY OF CAPE TOWN, 7975","PO Box 1616, SUN VALLEY, , 7975",0217852722,Y,,Q2,,,,No Fee,,,WC,Not Moved,100000038,100000038,85,12
100000054,2022,WC,1,ACADEMY PRIVATE SCHOOL,Open,INDEPENDENT,ORDINARY SCHOOL,COMBINED SCHOOL,NOT APPLICABLE,METRO EAST,2,PRIVATE,UNKNOWN,,,N/A,1004494,1004494,"18,708624","-33,928723",CITY OF CAPE TOWN METROPOLITAN MUNICIPALITY,City of Cape Town Metropolitan Municipality,19100014,,,MR J  SCHNEPPER,CITY OF CAPE TOWN,KLEIN ZEVENWACHT,CITY OF CAPE TOWN,"MERLOT CLOSE, KLEIN ZEVENWACHT ESTATE, KUILS RIVER, CITY OF CAPE TOWN, 7580","PO BOX 1314, KUILS RIVER, , 7579",0219033328,Y,,NOT APPLICABLE,,,,Fee Charging,,,WC,Not Moved,100000054,100000054,178,19
100000055,2022,WC,1,CLAREMONT HIGH SCHOOL,Open,PUBLIC,ORDINARY SCHOOL,SECONDARY SCHOOL,DINALEDI,METRO CENTRAL,6,GOVERMENT,STATE,,,061061,1001203,1001203,"18,4690912779","-33,9880051207",CITY OF CAPE TOWN METROPOLITAN MUNICIPALITY,City of Cape Town Metropolitan Municipality,19100059,,,MR M  GIBBON,CITY OF CAPE TOWN,CLAREMONT,CITY OF CAPE TOWN,"MOLTENO ROAD, CLAREMONT, , CITY OF CAPE TOWN, 7708","Molteno Road, Claremont, , 7708",0216710645,Y,,Q5,,,,Fee Charging,,,WC,Not Moved,100000055,100000055,503,26
100000056,2022,WC,1,WESTLAKE PRIMARY SCHOOL,Open,PUBLIC,ORDINARY SCHOOL,PRIMARY SCHOOL,NOT APPLICABLE,METRO SOUTH,4,GOVERMENT,STATE,,,061060,NULL,NULL,"18,4369146998","-34,0732556985",CITY OF CAPE TOWN METROPOLITAN MUNICIPALITY,City of Cape Town Metropolitan Municipality,19100071,,,MRS J  DAWSON,CITY OF CAPE TOWN,WESTLAKE,CITY OF CAPE TOWN,"FICUS STREET, WESTLAKE, TOKAI, CITY OF CAPE TOWN, 7945","Ficus Street, Westlake, TOKAI, 7945",0214927811,N,,Q4,,,,No Fee,,,WC,Not Moved,100000056,100000056,796,22
100000065,2022,WC,1,REDDAM HOUSE ATLANTIC SEABOARD,Open,INDEPENDENT,ORDINARY SCHOOL,COMBINED SCHOOL,NOT APPLICABLE,METRO CENTRAL,2,PRIVATE,UNKNOWN,,,N/A,NULL,NULL,"18,408376","-33,910456",CITY OF CAPE TOWN METROPOLITAN MUNICIPALITY,City of Cape Town Metropolitan Municipality,19100115,,,MRS LDM  Noonan,CITY OF CAPE TOWN,GREEN POINT,CITY OF CAPE TOWN,"CAVALCADE ROAD, GREEN POINT, , CITY OF CAPE TOWN, 8005","20 Cavalcade Road, Green Point, , 8005",0214330105,Y,,Q5,,,,Fee Charging,,,WC,Not Moved,100000065,100000065,394,51
100000070,2022,WC,1,IES INTERNATIONAL HELDEBERG SCHOOL (PTY) LTD,Open,INDEPENDENT,ORDINARY SCHOOL,COMBINED SCHOOL,NOT APPLICABLE,METRO EAST,8,TRUST LAND,UNKNOWN,,,N/A,NULL,NULL,"18,857012","-34,100218",CITY OF CAPE TOWN METROPOLITAN MUNICIPALITY,City of Cape Town Metropolitan Municipality,19100084,,,MR A  SWART,CITY OF CAPE TOWN,HERITAGE PARK,CITY OF CAPE TOWN,"HAZELDEN DRIVE, HERITAGE PARK, SOMERSET WEST, CITY OF CAPE TOWN, 7130","Postnet Suite 214, Private Bag X29, SOMERSET WEST, 7129",0218516290,Y,,Q5,,,,Fee Charging,,,WC,Not Moved,100000070,100000070,179,25
100000078,2022,WC,1,DISA PRIMARY SCHOOL (HOUT BAY),Open,PUBLIC,ORDINARY SCHOOL,PRIMARY SCHOOL,NOT APPLICABLE,METRO CENTRAL,5,GOVERMENT,STATE,,,061065,NULL,NULL,"18,3596717485","-34,0273690744",CITY OF CAPE TOWN METROPOLITAN MUNICIPALITY,City of Cape Town Metropolitan Municipality,19100074,,,MR GF  VLOTMAN,CITY OF CAPE TOWN,HOUT BAY,CITY OF CAPE TOWN,"OR TAMBO ROAD, IMIZAMO YETHU, HOUT BAY, CITY OF CAPE TOWN, 7806","PO Box  26983, Hout Bay, , 7806",0212000790,N,,Q3,,,,No Fee,,,WC,Not Moved,100000078,100000078,684,36
100000091,2022,WC,1,CEDERBERG ACADEMY,Open,PUBLIC,ORDINARY SCHOOL,SECONDARY SCHOOL,NOT APPLICABLE,WEST COAST,4,GOVERMENT,STATE,,,061064,1005596,1005596,"19,0147386894","-32,5855743864",WEST COAST DISTRICT MUNICIPALITY,Cederberg Local Municipality,10102002,,,MR SM  KLEIN,CITRUSDAL,CITRUSDAL,CITRUSDAL,"HEUWELSINGEL, CITRUSDAL, , CITRUSDAL, 7340","Posbus 372, Citrusdal, , 7340",0229213106,N,,Q4,,,,Fee Charging,,,WC,Not Moved,100000091,100000091,850,24
100000103,2022,WC,1,LYCEE FRANCAIS DU CAP FRANCOIS LE VAILLANT,Open,INDEPENDENT,ORDINARY SCHOOL,COMBINED SCHOOL,NOT APPLICABLE,METRO CENTRAL,2,PRIVATE,UNKNOWN,,,N/A,NULL,NULL,"18,418461","-33,931708",CITY OF CAPE TOWN METROPOLITAN MUNICIPALITY,City of Cape Town Metropolitan Municipality,19100115,,,MRS Y  LEDONNE,CITY OF CAPE TOWN,GARDENS,CITY OF CAPE TOWN,"HOPE STREET, GARDENS, , CITY OF CAPE TOWN, 8001","101 Hope Street, GARDENS, , 8001",0214612508,Y,,Q5,,,,Fee Charging,,,WC,Not Moved,100000103,100000103,277,32
