NatEmis,DataYear,Province,ProvinceCD,Official_Institution_Name,STATUS,Sector,Type_DoE,Phase_PED,Specialisation,EIDistrict,EICircuit,OwnerLand,OwnerBuild,ExDept,Persal_PaypointNo,Persal_ComponentNo,ExamNo,ExamCentre,GIS_Long,GIS_Lat,DMunName,LMunName,Ward_ID,SP_Code,SP_Name,Addressee,Township_Village,Suburb,Town_City,StreetAddress,PostalAddress,Telephone,Section21,Section21_Function,Quintile,NAS,NodalArea,Registration_Date,NoFeeSchool,Urban_Rural,Allocation,DemarcationFrom,DemarcationTo,OldNatEMIS,NewNATEMIS,Learners2022,Educators2022
440101017,2022,FS,4,IMPUCUKO P/S,OPEN,PUBLIC,ORDINARY SCHOOL,PRIMARY SCHOOL,ORDINARY,THABO MOFUTSANYANA,1,STATE,STATE,Department of Education and Training,120508,821694,,,"-28,207754","28,317177",THABO MOFUTSANYANA DISTRICT MUNICIPALITY,Dihlabeng,9,41302010,Theronville,MS LEBURU,BOHLOKONG,BOHLOKONG,BETHLEHEM,"1548A MABIZELA STREET, BOHLOKONG, BOHLOKONG, BETHLEHEM, 9702","PO BOX 5021, BOHLOKONG, 9702",058 -3041971,Yes,ABCDE,Q3,,,,YES,Urban,UNKNOWN,FS,NOT MOVED,440101017,440101017,747,24
440101018,2022,FS,4,THABANG P/S,OPEN,PUBLIC,ORDINARY SCHOOL,PRIMARY SCHOOL,ORDINARY,THABO MOFUTSANYANA,1,STATE,STATE,Department of Education and Training,120548,821759,,,"-28,207421","28,319511",THABO MOFUTSANYANA DISTRICT MUNICIPALITY,Dihlabeng,9,41302011,Thorisong,SS SEJAKE,BETHLEHEM,BETHLEHEM,BETHLEHEM,"2171 BOSIU STREET , BETHLEHEM, BETHLEHEM, BETHLEHEM, 9701","PO BOX 5012, BETHLEHEM , 9701",058-3045012,Yes,ABCDE,Q3,,,,YES,Urban,UNKNOWN,FS,NOT MOVED,440101018,440101018,1068,27
440101019,2022,FS,4,UTOPIA PF/S,OPEN,PUBLIC,ORDINARY SCHOOL,PRIMARY SCHOOL,ORDINARY,THABO MOFUTSANYANA,3,STATE,STATE,Department of Education and Training,120899,821746,,,"-28,173089","28,28701",THABO MOFUTSANYANA DISTRICT MUNICIPALITY,Dihlabeng,6,41304001,Bethlehem NU,S.M MOKHATLA,BETHLEHEM,BETHLEHEM,BETHLEHEM,"UTOPIA FARM, BETHLEHEM, BETHLEHEM, BETHLEHEM, 9700","PO BOX 145, BETHLEHEM, 9700",065-9781299,No,NONE,Q1,,,,YES,Rural,UNKNOWN,FS,NOT MOVED,440101019,440101019,116,5
440101042,2022,FS,4,ARRAN PF/S,OPEN,PUBLIC,ORDINARY SCHOOL,PRIMARY SCHOOL,ORDINARY,THABO MOFUTSANYANA,1,STATE,STATE,Department of Education and Training,120953,821700,,,"-28,176089","28,355512",THABO MOFUTSANYANA DISTRICT MUNICIPALITY,Dihlabeng,11,41304001,Bethlehem NU,LE MASOOA,BETHLEHEM,BETHLEHEM,BETHLEHEM,"ARRAN FARM C/O WARDEN ROAD, BETHLEHEM, BETHLEHEM, BETHLEHEM, 9700","PO BOX 2626, BETHLEHEM, 9700",058-3042933,No,NONE,Q1,,,,YES,Rural,UNKNOWN,FS,NOT MOVED,440101020,440101020,241,6
440101057,2022,FS,4,DIHLABENG CHRISTIAN PI/S,OPEN,INDEPENDENT,ORDINARY SCHOOL,PRIMARY SCHOOL,ORDINARY,THABO MOFUTSANYANA,2,INDEPENDENT,INDEPENDENT,N/A,,,,,"-28,531505","28,426978",THABO MOFUTSANYANA DISTRICT MUNICIPALITY,Dihlabeng,20,41304001,Bethlehem NU,A WOODAGE,Fouriesburg Road,Fouriesburg Road,CLARENS,"Saron Farm, Fouriesburg Road, Fouriesburg Road, CLARENS, 9707","PO BOX 149, Clarens, 9707",058-2561796,No,NONE,,,,,NO,Urban,UNKNOWN,FS,NOT MOVED,440101021,440101021,166,14
440101074,2022,FS,4,HELENA SLABBERTS PF/S,OPEN,PUBLIC,ORDINARY SCHOOL,PRIMARY SCHOOL,ORDINARY,THABO MOFUTSANYANA,2,STATE,STATE,Department of Education and Training,120993,821832,,,"-28,440074","28,186837",THABO MOFUTSANYANA DISTRICT MUNICIPALITY,Dihlabeng,15,41304004,Fouriesburg NU,ZC LEKHOABA,,,BETHLEHEM,"HELENA FARM, , , BETHLEHEM, 9703","PO BOX 32, SLABBERT, 9703",-,No,NONE,Q1,,,,YES,Rural,UNKNOWN,FS,NOT MOVED,440101022,440101022,96,4
440101087,2022,FS,4,MOTSHEPUWA P/S,OPEN,PUBLIC,ORDINARY SCHOOL,PRIMARY SCHOOL,ORDINARY,THABO MOFUTSANYANA,3,STATE,STATE,Department of Education and Training,120525,821818,,,"-28,22092","28,316844",THABO MOFUTSANYANA DISTRICT MUNICIPALITY,Dihlabeng,9,41302008,Old Location,M.Z. RAMOKHOTHOANE,BOHLOKONG,BOHLOKONG,BETHLEHEM,"277 MLANGENI STREET, BOHLOKONG, BOHLOKONG, BETHLEHEM, 9700","PRIVATE BAG X9700, BETHLEHEM, 9700",058-3031726,Yes,ABCDE,Q3,,,,YES,Urban,UNKNOWN,FS,NOT MOVED,440101023,440101023,827,27
440101089,2022,FS,4,IMPUMELELO P/S,OPEN,PUBLIC,ORDINARY SCHOOL,PRIMARY SCHOOL,ORDINARY,THABO MOFUTSANYANA,1,STATE,STATE,Department of Education and Training,120509,821695,,,"-28,255251","28,319677",THABO MOFUTSANYANA DISTRICT MUNICIPALITY,Dihlabeng,10,41304002,Bethlehem SH,S.J TSOTETSI,Bohlokong,Bohlokong,BETHLEHEM,"3306 Nhlabathi Street, Bohlokong, Bohlokong, BETHLEHEM, 9701","PO BOX 5029, Bohlokong, 9701",058-3042191,Yes,ABCDE,Q3,,,,YES,Urban,UNKNOWN,FS,NOT MOVED,440101024,440101024,1103,32
440101097,2022,FS,4,REABOKA PF/S,OPEN,PUBLIC,ORDINARY SCHOOL,PRIMARY SCHOOL,ORDINARY,THABO MOFUTSANYANA,3,STATE,STATE,Department of Education and Training,121081,821858,,,"-28,201586","28,166505",THABO MOFUTSANYANA DISTRICT MUNICIPALITY,Dihlabeng,18,41304001,Bethlehem NU,T.D THAELE,,,BETHLEHEM,"SMALLFONTEIN FARM, , , BETHLEHEM, 9700","PO BOX 51, , 9700",064-6404376,No,NONE,Q1,,,,YES,Rural,UNKNOWN,FS,NOT MOVED,440101025,440101025,103,4
440101102,2022,FS,4,DUIKFONTEIN PF/S,OPEN,PUBLIC,ORDINARY SCHOOL,PRIMARY SCHOOL,ORDINARY,THABO MOFUTSANYANA,3,STATE,STATE,Department of Education and Training,120979,821826,,,"-28,267582","28,086335",THABO MOFUTSANYANA DISTRICT MUNICIPALITY,Dihlabeng,17,41304001,Bethlehem NU,MJ MOKOENA,,,PAUL ROUX,"DUIKFONTEIN FARM, , , PAUL ROUX, 9700","PO BOX 221, BETHLEHEM, 9700",-,No,NONE,Q1,,,,YES,Rural,UNKNOWN,FS,NOT MOVED,440101026,440101026,52,3
