NatEmis,DataYear,Province,ProvinceCD,Official_Institution_Name,STATUS,Sector,Type_DoE,Phase_PED,Specialisation,EIDistrict,EICircuit,OwnerLand,OwnerBuild,ExDept,Persal_PaypointNo,Persal_ComponentNo,ExamNo,ExamCentre,GIS_Long,GIS_Lat,DMunName,LMunName,Ward_ID,SP_Code,SP_Name,Addressee,Township_Village,Suburb,Town_City,StreetAddress,PostalAddress,Telephone,Section21,Section21_Function,Quintile,NAS,NodalArea,Registration_Date,NoFeeSchool,Urban_Rural,Allocation,DemarcationFrom,DemarcationTo,OldNatEMIS,NewNATEMIS,Learners2022,Educators2022
500100011,2022,KZN,5,SABUYAZE SECONDARY SCHOOL,OPEN,PUBLIC,ORDINARY SCHOOL,SECONDARY SCHOOL,ORDINARY SCHOOL,Ilembe,Imati,Govt,Govt,TO BE UPDATED,270134,182020,5413228,SABUYAZE HIGH SCHOOL,"-29,1633","31,0689",eTHEKWINI METROPOLITAN MUNICIPALITY,Maphumulo,52904009,54606012,NYAMAZANE,MR .M KHANYASE,,EZIMANGWENI,MAPHUMULO,"WOZA AREA,EZIMANGWENI,MAPHUMULO,4470","P.O.BOX 11,MAPHUMULO,4470",0324812959,NO,NONE,Q1,Y,INANDA,,YES,RURAL,0,KZ,KZ,500100011,500100011,703,17
500100048,2022,KZN,5,A.I. KAJEE PRIMARY SCHOOL,OPEN,PUBLIC,ORDINARY SCHOOL,PRIMARY SCHOOL,PRIMARY SUBJECTS,Umgungundlovu,Mpofana,Govt,Trust Land,HOUSE OF DELEGATES(HOD),65000,65000,0,NOT APPLICABLE,"-29,2095","29,9989",UMGUNGUNDLOVU DISTRICT MUNICIPALITY,Mpofana,52203001,50902000,NONE,AB KAZI,,MOOI RIVER,MOOIRIVER,"37 MARKET STREET,MOOIRIVER,3300","P.O.BOX 79,MOOIRIVER,3300",0332631522,NO,NONE,Q4,N,NOT APPLICABLE,,,RURAL,0,KZ,KZ,500100048,500100048,295,9
500100085,2022,KZN,5,AJ MWELASE SENIOR SECONDARY SCHOOL,OPEN,PUBLIC,ORDINARY SCHOOL,SECONDARY SCHOOL,ORDINARY SCHOOL,Umlazi,Mxenge,Govt,Govt,DEPARTMENT OF EDUCATION AND TRAINING(DET),51401,51101,5411101,A J MWELASE SENIOR SECONDARY,"-29,9339","30,9379",eTHEKWINI METROPOLITAN MUNICIPALITY,eThekwini,59500069,57244000,NONE,B .N MTHABELA,,LAMONTVILLE,DURBAN,"2381 BHUBESI STREET,LAMONTVILLE,DURBAN,4027","P.O.BOX 35,LAMONTVILLE,4027",0314009523,NO,NONE,Q3,N,NOT APPLICABLE,,,URBAN,0,KZ,KZ,500100085,500100085,789,24
500100122,2022,KZN,5,AYS MEMORIAL PRIMARY SCHOOL,OPEN,PUBLIC,ORDINARY SCHOOL,PRIMARY SCHOOL,PRIMARY SUBJECTS,Umlazi,Karanja,Govt,Govt,HOUSE OF DELEGATES(HOD),60437,63400,0,NOT APPLICABLE,"-29,9211","30,872",eTHEKWINI METROPOLITAN MUNICIPALITY,eThekwini,59500073,57211013,MONTFORD,MRS.K SINGH,,MONTFORD,DURBAN,"723  ROAD,MONTFORD,DURBAN,4030","P.O.BOX 56483,CHATSWORTH,4030",0314049018,NO,NONE,Q4,N,NOT APPLICABLE,,,URBAN,0,KZ,KZ,500100122,500100122,630,26
500100196,2022,KZN,5,ABAMBO PRIMARY SCHOOL,OPEN,PUBLIC,ORDINARY SCHOOL,PRIMARY SCHOOL,PRIMARY SUBJECTS,Pinetown,Molweni,Govt,Govt,KWAZULU NATAL EDUCATION DEPARTMENT,180001,271410,0,NOT APPLICABLE,"-29,7391","30,7877",eTHEKWINI METROPOLITAN MUNICIPALITY,eThekwini,59500008,57273003,MKHOLOMBE,P .N MBULI,,EMBO,HILLCREST,"EMBO RESERVE,HILLCREST,3650","P.O.BOX 2399,HILLCREST,3650",0071355849,NO,NONE,Q2,N,NOT APPLICABLE,,YES,RURAL,0,KZ,KZ,500100196,500100196,132,5
500100233,2022,KZN,5,ABANTUNGWA HIGH SCHOOL,OPEN,PUBLIC,ORDINARY SCHOOL,SECONDARY SCHOOL,ORDINARY SCHOOL,Uthukela,Ntabamhlophe,Govt,Govt,KWAZULU NATAL EDUCATION DEPARTMENT,300001,5052092040,5211201,ABANTUNGWA HIGH SCHOOL,"-29,097","29,711",UTHUKELA DISTRICT MUNICIPALITY,Imbabazane,52307014,51807002,EMDWEBU,RL NGCOBO,,EMOWEBU,ESCOURT,"EMDWEBU LOCATION,EMOWEBU,ESCOURT,3310","P.O.BOX 533,ESTCOURT,3310",0363528043,NO,NONE,Q3,N,NOT APPLICABLE,,YES,RURAL,0,KZ,KZ,500100233,500100233,461,15
500100270,2022,KZN,5,ABAQULUSI HIGH SCHOOL,OPEN,PUBLIC,ORDINARY SCHOOL,SECONDARY SCHOOL,ORDINARY SCHOOL,Zululand,Tholakele,Trust Land,Govt Education,KWAZULU NATAL EDUCATION DEPARTMENT,36000,162470,5112401,ABAQULUSI HIGH SCHOOL,"-27,4734","31,0382",ZULULAND DISTRICT MUNICIPALITY,eDumbe,52601005,52701013,KLEINFONTEIN,MR. L .M DLAMINI,,PAULPIETERSBURG,PAUL PIETERSBURG,"BHADENI,PAULPIETERSBURG,PAUL PIETERSBURG,3180","PRIVATE BAG X270,PAULPIETERSBURG,3180",0764331684,NO,NONE,Q1,N,NOT APPLICABLE,,YES,RURAL,0,KZ,KZ,500100270,500100270,534,18
500100307,2022,KZN,5,ABATHWA PRIMARY SCHOOL,OPEN,PUBLIC,ORDINARY SCHOOL,PRIMARY SCHOOL,PRIMARY SUBJECTS,Umzinyathi,Jama/Babanango,Govt Education,Govt,KWAZULU NATAL EDUCATION DEPARTMENT,280159,441550,0,NOT APPLICABLE,"-28,2564","30,9467",UMZINYATHI DISTRICT MUNICIPALITY,Nqutu,52402004,53109005,EXCELSIOR,MISS. N. S ZINDELA,,BABANANGO,VRYHEID,"1320 D-OGAZINI AREA,BABANANGO,VRYHEID,3100","PRIVATE BAG X9303,VRYHEID,3100",0824302006,NO,NONE,Q1,Y,UMZINYATHI,,YES,RURAL,0,KZ,KZ,500100307,500100307,241,7
500100344,2022,KZN,5,ACACIAVALE PRIMARY SCHOOL,OPEN,PUBLIC,ORDINARY SCHOOL,PRIMARY SCHOOL,PRIMARY SUBJECTS,Uthukela,Klipriver,Govt,Govt,HOUSE OF DELEGATES(HOD),60930,0562/06502,0,NOT APPLICABLE,"-28,5946","29,803",UTHUKELA DISTRICT MUNICIPALITY,Alfred Duma,52308020,51407001,ACACIAVALE,R ROY,,LADYSMITH ACACIAVALE WEST,LADYSMITH,"FOXGLOVE AVENUE,LADYSMITH ACACIAVALE WEST,LADYSMITH,3370","P.O.BOX 2008,LADYSMITH,3370",0366333298,NO,NONE,Q4,N,NOT APPLICABLE,,,URBAN,0,KZ,KZ,500100344,500100344,971,29
500100381,2022,KZN,5,ACTON HOMES PRIMARY SCHOOL,OPEN,PUBLIC,ORDINARY SCHOOL,PRIMARY SCHOOL,PRIMARY SUBJECTS,Uthukela,Bethany,Govt,Govt,DEPARTMENT OF EDUCATION AND TRAINING(DET),53403,54406,0,NOT APPLICABLE,"-28,6455","29,4065",UTHUKELA DISTRICT MUNICIPALITY,Okhahlamba,52305011,51703001,ACTON HOMES,SN MABASO,,,BERGVILLE,"NOOITGEDACHT FARM,BERGVILLE,3350","P.O.BOX 138,BERGVILLE,3350",0364481348,NO,NONE,Q3,N,NOT APPLICABLE,,YES,RURAL,0,KZ,KZ,500100381,500100381,516,15
500100418,2022,KZN,5,ADAMS SENIOR PRIMARY SCHOOL,OPEN,PUBLIC,ORDINARY SCHOOL,PRIMARY SCHOOL,PRIMARY SUBJECTS,Umlazi,Folweni,Govt,Govt,TO BE UPDATED,150001,331010,0,NOT APPLICABLE,"-30,0274","30,8227",eTHEKWINI METROPOLITAN MUNICIPALITY,eThekwini,59500067,57278001,ADAMS RURAL,JM ZUNGU,,ADAMS MISSION,AMANZIMTOTI,"10 SHELENI ROAD,ADAMS MISSION,AMANZIMTOTI,4100","POST OFFICE,ADAMSMISSION,4100",0319054070,NO,NONE,Q3,N,NOT APPLICABLE,,YES,RURAL,0,KZ,KZ,500100418,500100418,803,21
500100455,2022,KZN,5,ADDINGTON PRIMARY SCHOOL,OPEN,PUBLIC,ORDINARY SCHOOL,PRIMARY SCHOOL,PRIMARY SUBJECTS,Umlazi,Kwakangela,Govt,Govt,HOUSE OF ASSEMBLY(HOA),11021004,5021/07025,0,NOT APPLICABLE,"-29,8684","31,0436",eTHEKWINI METROPOLITAN MUNICIPALITY,eThekwini,59500026,57218119,WINDERMERE,MRS.G.L MOODLEY,,POINT,DURBAN,"43 BELL STREET,POINT,DURBAN,4069","PRIVATE BAG X01,POINT,4069",0313374458,NO,NONE,Q5,N,NOT APPLICABLE,,,URBAN,0,KZ,KZ,500100455,500100455,1483,49
