province,district_name,emis_number,centre_number,centre_name,quantile,_2021_progressed(%),_2021_total_wrote,_2021_total_archived,_2021_achived,_2022_progressed,_2022_total_wrote,_2022_total_archived,_2022_achived,_2023_progressed,_2023_total_wrote,_2023total_archeive,_2023_achieved(%)
EASTERN CAPE,ALFRED NZO EAST,200500039,4241001,A D Tshayingca Secondary School,3,3,326,277,85.0,2,328,258,78.7,4,274,236,86.1
EASTERN CAPE,ALFRED NZO EAST,200500013,4241002,Baleni Senior Secondary School,1,0,183,116,63.4,14,169,96,56.8,13,125,104,83.2
EASTERN CAPE,ALFRED NZO EAST,200500315,4241040,Bhovulengwe S S S,99,0,23,19,82.6,0,29,29,100.0,0,113,111,98.2
EASTERN CAPE,ALFRED NZO EAST,200500041,4241003,Bizana Senior Secondary School,3,64,447,271,60.6,1,393,269,68.4,34,293,249,85.0
EASTERN CAPE,ALFRED NZO EAST,200501456,4241004,Cangci Comprehensive Technical High,1,13,149,130,87.2,7,160,144,90.0,8,164,156,95.1
EASTERN CAPE,ALFRED NZO EAST,200501404,4241005,Chief Dumile Senior Secondary School,1,41,228,180,78.9,14,201,149,74.1,30,248,219,88.3
EASTERN CAPE,ALFRED NZO EAST,200500138,4241006,Dudumeni High School,1,1,86,73,84.9,9,148,116,78.4,3,136,110,80.9
EASTERN CAPE,ALFRED NZO EAST,200500150,4241007,Dumsi Comprehensive High School,1,0,103,72,69.9,8,128,108,84.4,5,114,101,88.6
EASTERN CAPE,ALFRED NZO EAST,200500205,4241008,Enqabeni Senior Secondary School,1,27,135,95,70.4,4,141,115,81.6,7,171,120,70.2
EASTERN CAPE,ALFRED NZO EAST,200500208,4241036,Enyanisweni Senior Secondary School,3,8,206,151,73.3,25,231,186,80.5,23,254,199,78.3
EASTERN CAPE,ALFRED NZO EAST,200500270,4241009,Greenville Senior Secondary School,1,34,146,84,57.5,26,109,95,87.2,21,167,118,70.7
EASTERN CAPE,ALFRED NZO EAST,200500278,4241010,Gumzana Senior Secondary School,3,66,320,221,69.1,5,159,153,96.2,5,232,230,99.1
EASTERN CAPE,ALFRED NZO EAST,200500300,4241011,Hlamandana Senior Secondary School,2,59,151,110,72.8,22,189,134,70.9,10,179,151,84.4
EASTERN CAPE,ALFRED NZO EAST,0,4241042,Kwanikwe Senior Secondary School,99,,,,,0,84,79,94.0,8,99,84,84.8
EASTERN CAPE,ALFRED NZO EAST,200500580,4241012,Madikizela Senior Secondary School,1,21,76,46,60.5,16,89,58,65.2,8,128,107,83.6
EASTERN CAPE,ALFRED NZO EAST,200500529,4241013,Majavu Secondary School,3,8,155,131,84.5,31,199,161,80.9,3,152,135,88.8
EASTERN CAPE,ALFRED NZO EAST,200500577,4241014,Maqongwana Senior Secondary School,1,0,35,17,48.6,10,64,45,70.3,1,45,41,91.1
EASTERN CAPE,ALFRED NZO EAST,200500580,4241015,Marelane Senior Secondary School,1,20,254,229,90.2,46,252,229,90.9,41,223,198,88.8
EASTERN CAPE,ALFRED NZO EAST,200500583,4241016,Marina Comprehensiive High School,1,53,250,182,72.8,34,236,191,80.9,30,232,199,85.8
EASTERN CAPE,ALFRED NZO EAST,200500639,4241017,Mdatya Senior Secondary School,1,95,388,220,56.7,67,178,115,64.6,50,283,209,73.9
EASTERN CAPE,ALFRED NZO EAST,200500672,4241018,Mhlabi C H School,1,5,120,97,80.8,136,174,165,94.8,4,287,280,97.6
EASTERN CAPE,ALFRED NZO EAST,200500699,4241039,Mkomane Secondary School,2,0,58,44,75.9,9,121,68,56.2,9,62,55,88.7
EASTERN CAPE,ALFRED NZO EAST,200500712,4241041,Mncwathi S S S,99,1,42,27,64.3,1,83,73,88.0,3,87,77,88.5
