NatEmis,DataYear,Province,ProvinceCD,Official_Institution_Name,STATUS,Sector,Type_DoE,Phase_PED,Specialisation,EIDistrict,EICircuit,OwnerLand,OwnerBuild,ExDept,Persal_PaypointNo,Persal_ComponentNo,ExamNo,ExamCentre,GIS_Long,GIS_Lat,DMunName,LMunName,Ward_ID,SP_Code,SP_Name,Addressee,Township_Village,Suburb,Town_City,StreetAddress,PostalAddress,Telephone,Section21,Section21_Function,Quintile,NAS,NodalArea,Registration_Date,NoFeeSchool,Urban_Rural,Allocation,DemarcationFrom,DemarcationTo,OldNatEMIS,NewNATEMIS,Learners2022,Educators2022
900009123,2022,LP,9,SASELEMANI,OPEN,INDEPENDENT,ORDINARY SCHOOL,COMBINED SCHOOL,ORDINARY,VHEMBE EAST,MALAMULELE NORTH EAST,,,,,99,,,"30,85691055","-22,833859079",VHEMBE DISTRICT MUNICIPALITY,THULAMELA LOCAL MUNICIPALITY,93403014,,,TONG-BOARE E,SASELEMANI VILLAGE,,SASELEMANE,NO 785;SASELEMANI VILLAGE;,P.O. BOX 18; SASELEMANI,0713838215,YES,,NOT APPLICABLE,N,,,NO,,,LP,LP,900009123,900009123,495,17
901010042,2022,LP,9,CARPE DIEM CHRISTIAN,OPEN,INDEPENDENT,ORDINARY SCHOOL,COMBINED SCHOOL,ORDINARY,MOGALAKWENA,POTGIETERSRUS,,,,,99,,,"29,003544444","-24,193352778",WATERBERG DISTRICT MUNICIPALITY,MOGALAKWENA LOCAL MUNICIPALITY,,WATERBERG,,VOSSER M,,,MOKOPANE,Geyser Street,PO BOX 4462,0154916681,YES,,NOT APPLICABLE,,,,NO,,,LP,LP,901010042,901010042,54,4
901340401,2022,LP,9,MOHUMI,OPEN,PUBLIC,ORDINARY SCHOOL,SECONDARY SCHOOL,ORDINARY,MOPANI WEST,RAKWADU 2,,,LEBOWA,800693,414052,7081205,MOHUMI SECONDARY,"29,965060791","-23,637888422",MOPANI DISTRICT MUNICIPALITY,GREATER LETABA LOCAL MUNICIPALITY,93302009,90206006,,Sekgota  LL,,SEKGOPO,POLOKWANE,MOSHATE; GA-SEKGOPO;,P.O. BOX 141; MOOKETSI,,YES,,Q1,N,,,YES,RURAL,,LP,LP,901340401,901340401,612,20
901340425,2022,LP,9,MOTSHUEDI,OPEN,PUBLIC,ORDINARY SCHOOL,SECONDARY SCHOOL,ORDINARY,MOPANI WEST,RAKWADU 2,,,DEPARTMENT OF EDUCATION & TRAINING(DET),800692,414051,7081206,MOTSHEUDI SECONDARY,"29,980661391","-23,618955503",MOPANI DISTRICT MUNICIPALITY,GREATER LETABA LOCAL MUNICIPALITY,93302009,90206003,,CHABALALA T.M,,SEKGOPO,MOOKETSI,MAROTHOLONG; GA-SEKGOPO;,P.O. BOX 163; MOOKETSI,0729560109,YES,,Q1,N,,,YES,RURAL,,LP,LP,901340425,901340425,913,31
901340449,2022,LP,9,KGOLAKALELEME,OPEN,PUBLIC,ORDINARY SCHOOL,SECONDARY SCHOOL,ORDINARY,MOPANI WEST,RAKWADU 2,,,LEBOWA,800756,414050,7081203,KGOLAKALELEME HIGH,"30,012598471","-23,609555538",MOPANI DISTRICT MUNICIPALITY,GREATER LETABA LOCAL MUNICIPALITY,93302010,90206002,,Ramoadi MJ ,,SEKGOPO,KGAPANE,19 BLOCK C; GA-RAMOADI; SEKGOPO;,P.O. BOX 134; MOOKETSI,0834393215,YES,,Q1,N,,,YES,RURAL,,LP,LP,901340449,901340449,523,21
901340470,2022,LP,9,MANTSHA,OPEN,PUBLIC,ORDINARY SCHOOL,PRIMARY SCHOOL,ORDINARY,MOPANI WEST,RAKWADU 2,,,LEBOWA,851484,414049,,,"30,016727166","-23,615941871",MOPANI DISTRICT MUNICIPALITY,GREATER LETABA LOCAL MUNICIPALITY,93302010,90206002,,MAHASHA M.D,,SEKGOPO,MOOKETSI,BLOCK C RAMOADI,PO BOX178,0716576958,YES,,Q1,N,,,YES,RURAL,,LP,LP,901340470,901340470,583,16
901340500,2022,LP,9,MALADUMA,OPEN,PUBLIC,ORDINARY SCHOOL,PRIMARY SCHOOL,ORDINARY,MOPANI WEST,RAKWADU 2,,,LEBOWA,851478,414048,,,"29,966406356","-23,626657536",MOPANI DISTRICT MUNICIPALITY,GREATER LETABA LOCAL MUNICIPALITY,93302009,90206008,,Segwapa PJ,,SEKGOPO,MUNNIK,628  BLOCK A; SETASENG; GA SEKGOPO;,P.O. BOX 27; MUNNIK,0833608997,YES,,Q1,N,,,YES,RURAL,,LP,LP,901340500,901340500,266,7
901340524,2022,LP,9,LEBOWAGANYANE,OPEN,PUBLIC,ORDINARY SCHOOL,PRIMARY SCHOOL,ORDINARY,MOPANI WEST,RAKWADU 2,,,LEBOWA,851503,414047,,,"29,97071855","-23,619983061",MOPANI DISTRICT MUNICIPALITY,GREATER LETABA LOCAL MUNICIPALITY,93302009,90206005,,Maluleke  Z.J,,SEKGOPO,MOOKETSI,SEKGOPO; GA MOGANO; NEXT TO RAMASALA CAFE;,P.O. BOX 3; MOOKETSI,0713158850,YES,,Q1,N,,,YES,RURAL,,LP,LP,901340524,901340524,515,15
901340531,2022,LP,9,MAKHABENI,OPEN,PUBLIC,ORDINARY SCHOOL,PRIMARY SCHOOL,ORDINARY,MOPANI WEST,RAKWADU 2,,,LEBOWA,851723,414046,,,"30,001547","-23,605483",MOPANI DISTRICT MUNICIPALITY,GREATER LETABA LOCAL MUNICIPALITY,93302010,90206002,,Lebepe MM,,SEKGOPO,SEKGOPO,GA-SEKGOPO; MAKHABENI  VILLAGE;,P.O. BOX 155; MOOKETSI,0839777912,YES,,Q1,N,,,YES,RURAL,,LP,LP,901340531,901340531,397,11
901340623,2022,LP,9,MOTSEKETLA,OPEN,PUBLIC,ORDINARY SCHOOL,PRIMARY SCHOOL,ORDINARY,MOPANI WEST,RAKWADU 2,,,LEBOWA,851541,414045,,,"29,989067669","-23,603368181",MOPANI DISTRICT MUNICIPALITY,GREATER LETABA LOCAL MUNICIPALITY,93302010,90206007,,RAMAOKA M.V.M,GASEKGOPO,SEKGOPO,SEKGOPO,HEADMAN  MAMERIRI; SEKGOPO  VILLAGE; MOOKETSI;,P.O. BOX 449; SEKGOPO,0827461923,YES,,Q1,N,,,YES,RURAL,,LP,LP,901340623,901340623,801,23
