NatEmis,verify,DataYear,Province,ProvinceCD,Official_Institution_Name,STATUS,Sector,Type_DoE,Phase_PED,Specialisation,EIDistrict,EICircuit,OwnerLand,OwnerBuild,ExDept,Persal_PaypointNo,Persal_ComponentNo,ExamNo,ExamCentre,GIS_Long,GIS_Lat,DMunName,LMunName,Ward_ID,SP_Code,SP_Name,Addressee,Township_Village,Suburb,Town_City,StreetAddress,PostalAddress,Telephone,Section21,Section21_Function,Quintile,NAS,NodalArea,Registration_Date,NoFeeSchool,Urban_Rural,Allocation,DemarcationFrom,DemarcationTo,OldNATEMIS,NewNATEMIS,Learners2022,Educators2022
100000073,False,2022,WC,1,BISHOPS SCHOOL OF SKILLS,Open,PUBLIC,SPECIAL NEEDS EDUCATION ,School of Skills,SPECIAL NEEDS EDUCATION,METRO NORTH,8,NULL,UNKNOWN,WCE,99,061063,NULL,NULL,"18,5825494291","-33,9457996899",City of Cape Town Metropolitan Municipality,City of Cape Town Metropolitan Municipality,19100024,99,UNKNOWN,MR H  ISMAIEL,99,BISHOP LAVIS,CITY OF CAPE TOWN,"KOPPIESDAMSTRAAT, BISHOP LAVIS, , CITY OF CAPE TOWN, 7490","KOPPIESDAMSTRAAT, CAPE TOWN, , 7490",0210100058,Y,ABCDE,NOT APPLICABLE,N,N/A,,99,,1243,WC,Not Moved,100000073,100000073,329,19
100000119,False,2022,WC,1,OUDTSHOORN SCHOOL OF SKILLS,Open,PUBLIC,SPECIAL NEEDS EDUCATION ,School of Skills,SPECIAL NEEDS EDUCATION,EDEN AND CENTRAL KAROO,5,NULL,UNKNOWN,WCE,99,061075,NULL,NULL,"22,2087604044","-33,6023797382",GARDEN ROUTE,Oudtshoorn Local Municipality,10405003,99,UNKNOWN,MR RG  BLOCK,99,OUDTSHOORN,OUDTSHOORN,"LANGENHOVENWEG, OUDTSHOORN, , OUDTSHOORN, 6625","104 Langenhovenweg, Oudtshoorn, , 6625",0442726055,Y,ABCDE,NOT APPLICABLE,N,N/A,,99,,1243,WC,Not Moved,100000119,100000119,253,17
100000291,False,2022,WC,1,SNAP ACADEMY,Open,INDEPENDENT,SPECIAL NEEDS EDUCATION ,SPECIAL NEEDS EDUCATION CENTRE,SPECIAL NEEDS EDUCATION,METRO NORTH,7,UNKNOWN,UNKNOWN,WCE,99,N/A,NULL,NULL,"18,6640195004","-33,8097395651",City of Cape Town Metropolitan Municipality,City of Cape Town Metropolitan Municipality,19100105,99,UNKNOWN,MS S  SMIT,99,VIERLANDEN,CITY OF CAPE TOWN,"DE DAM STREET, DURBANVILLE, , CITY OF CAPE TOWN, 7550","9 De Dam Street, Durbanville, , 7550",0219757224,Y,ABCDE,NOT APPLICABLE,N,N/A,,99,,1243,WC,Not Moved,100000291,100000291,52,12
100000323,False,2022,WC,1,UP WITH DOWNS SCHOOL,Open,INDEPENDENT,SPECIAL NEEDS EDUCATION ,SPECIAL NEEDS EDUCATION CENTRE,SPECIAL NEEDS EDUCATION,EDEN AND CENTRAL KAROO,3,UNKNOWN,UNKNOWN,WCE,99,N/A,NULL,NULL,"22,4142081719","-33,948297506",GARDEN ROUTE,George Local Municipality,10404026,99,UNKNOWN,MRS SC  STORBECK,99,BLANCO,GEORGE,"PIETER THERON STREET, BLANCO, , GEORGE, 6529","25 Pieter Theron Street, Blanco, , 6529",0448708770,Y,ABCDE,NOT APPLICABLE,N,N/A,,99,,1243,WC,Not Moved,100000323,100000323,15,5
100000342,False,2022,WC,1,VREDELUST COLLEGE,Open,INDEPENDENT,SPECIAL NEEDS EDUCATION ,SPECIAL NEEDS EDUCATION CENTRE,SPECIAL NEEDS EDUCATION,METRO NORTH,6,UNKNOWN,UNKNOWN,WCE,99,N/A,NULL,NULL,"18,6117158519","-33,8934166298",City of Cape Town Metropolitan Municipality,City of Cape Town Metropolitan Municipality,19100002,99,UNKNOWN,MRS M  LEMLEY,99,VREDELUST BELLVILLE,CITY OF CAPE TOWN,"103 13TH AVENUE, VREDELUST, BELLVILLE, CITY OF CAPE TOWN, 7530","103 13th Avenue, Vredelust, BELLVILLE, 7530",0219495526,Y,ABCDE,NOT APPLICABLE,N,N/A,,99,,1243,WC,Not Moved,100000342,100000342,51,4
100000430,False,2022,WC,1,THE DREAMTREE SCHOOL,Open,INDEPENDENT,SPECIAL NEEDS EDUCATION ,SPECIAL NEEDS EDUCATION CENTRE,SPECIAL NEEDS EDUCATION,METRO EAST,1,UNKNOWN,UNKNOWN,WCE,99,N/A,NULL,NULL,"18,8081095428","-34,0409499526",Cape Winelands,Stellenbosch Local Municipality,10204020,99,UNKNOWN,MS E  BRAND,99,OUTSIDE A TOWN,OUTSIDE A TOWN,"SOMERSET COLLEGE CAMPUS, BREDELL ROAD, SOMERSET WEST, OUTSIDE A TOWN, 7129","Somerset College Campus, Bredell Road, SOMERSET WEST, 7129",0218422883,Y,ABCDE,NOT APPLICABLE,N,N/A,,99,,1243,WC,Not Moved,100000430,100000430,21,5
100000436,False,2022,WC,1,LANGERUGSKOOL,Open,PUBLIC,SPECIAL NEEDS EDUCATION ,SPECIAL NEEDS EDUCATION CENTRE,SPECIAL NEEDS EDUCATION,CAPE WINELANDS,4,NULL,UNKNOWN,WCE,474142,061102,1008918,1008918,"19,4277490569","-33,6491560219",Cape Winelands,Breede Valley Local Municipality,10205015,99,UNKNOWN,MRS HC  DE VILLIERS,99,WORCESTER,WORCESTER,"DISTILLERYWEG, WORCESTER, , WORCESTER, 6850","Posbus 670, Worcester, , 6849",0233465300,Y,ABCDE,NOT APPLICABLE,N,N/A,,99,,1243,WC,Not Moved,100000436,100000436,162,23
100000561,False,2022,WC,1,AMATHEMBA SCHOOL,Open,INDEPENDENT,SPECIAL NEEDS EDUCATION ,SPECIAL NEEDS EDUCATION CENTRE,SPECIAL NEEDS EDUCATION,METRO NORTH,9,UNKNOWN,UNKNOWN,WCE,99,N/A,NULL,NULL,"18,4991799998","-33,8067500005",City of Cape Town Metropolitan Municipality,City of Cape Town Metropolitan Municipality,19100107,99,UNKNOWN,MRS K  Fernandez,99,NULL,CITY OF CAPE TOWN,"FAIRBRIDGE ROAD, TABLE VIEW, , CITY OF CAPE TOWN, 7441","PO Box 60385, TABLE VIEW, , 7439",0215563573,Y,ABCDE,NOT APPLICABLE,N,N/A,,No Fee,,1243,WC,Not Moved,100000561,100000561,34,4
100000592,False,2022,WC,1,EDUEXCELLENCE PRIVATE REMEDIAL SCHOOL,Open,INDEPENDENT,SPECIAL NEEDS EDUCATION ,SPECIAL NEEDS EDUCATION CENTRE,SPECIAL NEEDS EDUCATION,METRO SOUTH,9,UNKNOWN,UNKNOWN,WCE,99,N/A,NULL,NULL,"18,3894291486","-34,118439926",City of Cape Town Metropolitan Municipality,City of Cape Town Metropolitan Municipality,19100069,99,UNKNOWN,MRS S  ENGELBRECHT,99,NOORDHOEK,OUTSIDE A TOWN,"CNR HOUMOED AVE & N/HOEK MAIN, NOORDHOEK, , OUTSIDE A TOWN, 7975","P O Box 15, NOORDHOEK, , 7979",0217852992,Y,ABCDE,NOT APPLICABLE,N,N/A,,99,,1243,WC,Not Moved,100000592,100000592,38,7
100000603,False,2022,WC,1,LE BONHE'R COTTAGE SCHOOL,Open,INDEPENDENT,SPECIAL NEEDS EDUCATION ,SPECIAL NEEDS EDUCATION CENTRE,SPECIAL NEEDS EDUCATION,EDEN AND CENTRAL KAROO,3,UNKNOWN,UNKNOWN,WCE,99,N/A,NULL,NULL,"22,486505547","-33,959992606",GARDEN ROUTE,George Local Municipality,10404005,99,UNKNOWN,MS D  BOTHA,99,BERGSIG,GEORGE,"STANDER STREET, BERGSIG, GEORGE, GEORGE, 6539","55 Stander Street, Bergsig, GEORGE, 6539",0792973397,Y,ABCDE,NOT APPLICABLE,N,N/A,,99,,1243,WC,Not Moved,100000603,100000603,13,3
