Geography,Crime Category,Financial Year,Count
ZA,Contact Crimes,2011/2012,615935
ZA,Contact Crimes,2012/2013,608724
ZA,Contact Crimes,2013/2014,611574
ZA,Contact Crimes,2014/2015,616973
ZA,Contact Crimes,2015/2016,623223
ZA,Contact Crimes,2016/2017,608321
ZA,Contact Crimes,2017/2018,601366
ZA,Contact Crimes,2018/2019,617210
ZA,Contact Crimes,2019/2020,621282
ZA,Contact Crimes,2020/2021,535217
EC,Contact Crimes,2011/2012,75779
EC,Contact Crimes,2012/2013,72650
EC,Contact Crimes,2013/2014,73032
EC,Contact Crimes,2014/2015,68654
EC,Contact Crimes,2015/2016,67258
EC,Contact Crimes,2016/2017,65524
EC,Contact Crimes,2017/2018,65393
EC,Contact Crimes,2018/2019,68416
EC,Contact Crimes,2019/2020,68545
EC,Contact Crimes,2020/2021,59093
FS,Contact Crimes,2011/2012,47486
FS,Contact Crimes,2012/2013,48480
FS,Contact Crimes,2013/2014,45945
FS,Contact Crimes,2014/2015,42314
FS,Contact Crimes,2015/2016,41100
FS,Contact Crimes,2016/2017,37741
FS,Contact Crimes,2017/2018,35725
FS,Contact Crimes,2018/2019,36879
FS,Contact Crimes,2019/2020,36059
FS,Contact Crimes,2020/2021,31668
GT,Contact Crimes,2011/2012,160289
GT,Contact Crimes,2012/2013,153610
GT,Contact Crimes,2013/2014,160881
GT,Contact Crimes,2014/2015,167264
GT,Contact Crimes,2015/2016,172814
GT,Contact Crimes,2016/2017,171466
GT,Contact Crimes,2017/2018,170640
GT,Contact Crimes,2018/2019,174894
GT,Contact Crimes,2019/2020,177737
GT,Contact Crimes,2020/2021,151911
KZN,Contact Crimes,2011/2012,105443
KZN,Contact Crimes,2012/2013,105444
KZN,Contact Crimes,2013/2014,101983
KZN,Contact Crimes,2014/2015,98757
KZN,Contact Crimes,2015/2016,97870
KZN,Contact Crimes,2016/2017,95153
KZN,Contact Crimes,2017/2018,94914
KZN,Contact Crimes,2018/2019,97505
KZN,Contact Crimes,2019/2020,101154
KZN,Contact Crimes,2020/2021,88851
LIM,Contact Crimes,2011/2012,38826
LIM,Contact Crimes,2012/2013,36786
LIM,Contact Crimes,2013/2014,35953
LIM,Contact Crimes,2014/2015,37971
LIM,Contact Crimes,2015/2016,40391
LIM,Contact Crimes,2016/2017,36764
LIM,Contact Crimes,2017/2018,35068
LIM,Contact Crimes,2018/2019,35266
LIM,Contact Crimes,2019/2020,34780
LIM,Contact Crimes,2020/2021,31120
MP,Contact Crimes,2011/2012,36661
MP,Contact Crimes,2012/2013,33692
MP,Contact Crimes,2013/2014,31775
MP,Contact Crimes,2014/2015,31886
MP,Contact Crimes,2015/2016,32737
MP,Contact Crimes,2016/2017,33381
MP,Contact Crimes,2017/2018,32646
MP,Contact Crimes,2018/2019,34885
MP,Contact Crimes,2019/2020,35622
MP,Contact Crimes,2020/2021,31488
NW,Contact Crimes,2011/2012,36112
NW,Contact Crimes,2012/2013,36067
NW,Contact Crimes,2013/2014,34473
NW,Contact Crimes,2014/2015,35082
NW,Contact Crimes,2015/2016,35224
NW,Contact Crimes,2016/2017,35483
NW,Contact Crimes,2017/2018,36604
NW,Contact Crimes,2018/2019,37487
NW,Contact Crimes,2019/2020,36286
NW,Contact Crimes,2020/2021,31636
NC,Contact Crimes,2011/2012,18038
NC,Contact Crimes,2012/2013,18649
NC,Contact Crimes,2013/2014,18943
NC,Contact Crimes,2014/2015,18877
NC,Contact Crimes,2015/2016,18971
NC,Contact Crimes,2016/2017,18105
NC,Contact Crimes,2017/2018,17380
NC,Contact Crimes,2018/2019,17891
NC,Contact Crimes,2019/2020,17591
