NatEmis,DataYear,Province,ProvinceCD,Official_Institution_Name,STATUS,Sector,Type_DoE,Phase_PED,Specialisation,EIDistrict,EICircuit,OwnerLand,OwnerBuild,ExDept,Persal_PaypointNo,Persal_ComponentNo,ExamNo,ExamCentre,GIS_Long,GIS_Lat,DMunName,LMunName,Ward_ID,SP_Code,SP_Name,Addressee,Township_Village,Suburb,Town_City,StreetAddress,PostalAddress,Telephone,Section21,Section21_Function,Quintile,NAS,NodalArea,Registration_Date,NoFeeSchool,Urban_Rural,Allocation,DemarcationFrom,DemarcationTo,OldNatEMIS,NewNATEMIS,Learners2022,Educators2022
200100001,2022,EC,2,A V BUKANI PRIMARY SCHOOL,OPEN,Public,Ordinary School,PRIMARY SCHOOL,Ordinary,SARAH BAARTMAN,SB Sundays River Valley,PUBLIC,TO BE UPDATED,HOUSE OF REPRESENTATIVES(HOR),224281,224281,NOT APPLICABLE,NOT APPLICABLE,"25,71395","-33,52716",SARAH BARTMAN DISTRICT MUNICIPALITY,SUNDAYS RIVER VALLEY LOCAL MUNICIPALITY  ,EC106_6,20608000,NONE,Z J THAMBO,,NOMATHAMSANQA,ADDO,"Bukani Street,Nomathamsanqa,Addo,6105","P O BOX 85, ADDO, 6105",0422330419,Section 21,,Q3,,,1927-01-01,YES,Urban,NULL,NONE,Not Moved,200100001,200100001,1025,32
200100002,2022,EC,2,AARON GQADU PRIMARY SCHOOL,OPEN,Public,Ordinary School,PRIMARY SCHOOL,Ordinary,NELSON MANDELA,NM Algoa-4,PUBLIC,PUBLIC,DEPARTMENT OF EDUCATION AND TRAINING(DET),184102,184102,NOT APPLICABLE,NOT APPLICABLE,"25,58508","-33,86708",NELSON MANDELA BAY METROPOLITAN MUNICIPALITY,NELSON MANDELA BAY METROPOLITAN MUNICIPALITY,NMA_24,27508005,Kwazakele 2,MR N M KLAAS,,PORT ELIZABETH,KWAZAKHELE,"Mbilana Crescent,Kwazakhele,Port Elizabeth,6205","P O BOX 33, PORT ELIZABETH, 6205",0414669018,Section 21,,Q3,,,1992-01-01,YES,Urban,NULL,NONE,Not Moved,200100002,200100002,244,8
200100003,2022,EC,2,ABERDEEN PRIMARY PUBLIC SCHOOL,OPEN,Public,Ordinary School,PRIMARY SCHOOL,FULL SERVICE,SARAH BAARTMAN,SB Camdeboo,PUBLIC,TO BE UPDATED,DEPARTMENT OF EDUCATION AND TRAINING(DET),084101,084101,NOT APPLICABLE,NOT APPLICABLE,"24,06113","-32,47425",SARAH BARTMAN DISTRICT MUNICIPALITY,DR BEYERS NAUDE LOCAL MUNICIPALITY,EC101_7,20101000,NONE,DANIE PIENAAR,,,ABERDEEN,"4 Parlementstreet ,Aberdeen,Aberdeen,6270","P O BOX 62, ABERDEEN, 6270",049-846003,Section 21,,Q3,,,1912-01-01,YES,Urban,NULL,NONE,Not Moved,200100003,200100003,416,14
200100005,2022,EC,2,ABERDEEN SECONDARY SCHOOL,OPEN,Public,Ordinary School,SECONDARY SCHOOL,Ordinary,SARAH BAARTMAN,SB Camdeboo,PUBLIC,PUBLIC,HOUSE OF REPRESENTATIVES(HOR),084102,084102,4351001,ABERDEEN SENIOR SECONDARY SCHOOL - 4351001,"24,06183","-32,47385",SARAH BARTMAN DISTRICT MUNICIPALITY,DR BEYERS NAUDE LOCAL MUNICIPALITY,EC101_7,20101000,NONE,K KAMFER,,,ABERDEEN,"10 Parliament Street,Aberdeen,6270","P.O. BOX 10 PARLIAMENT STREET, ABERDEEN, 6270, ",049-846035,Section 21,,Q3,,,1920-01-01,YES,Urban,NULL,NONE,Not Moved,200100005,200100005,537,19
200100006,2022,EC,2,ABRAHAM LEVY PRIMARY SCHOOL,OPEN,Public,Ordinary School,PRIMARY SCHOOL,Ordinary,NELSON MANDELA,NM Algoa-3,PUBLIC,TO BE UPDATED,HOUSE OF REPRESENTATIVES(HOR),184103,184103,NOT APPLICABLE,NOT APPLICABLE,"25,5657","-33,93",NELSON MANDELA BAY METROPOLITAN MUNICIPALITY,NELSON MANDELA BAY METROPOLITAN MUNICIPALITY,NMA_10,27516074,Schauderville,GORDON B GEDULD,,SCHAUDERVILLE,PORT ELIZABETH,"Searle Road,Schauderville,Port Elizabeth,6060","P.O. BOX 807 SCHAUDERVILLE, PORT ELIZABETH, 6020",0414533461,Section 21,,Q3,,,1959-01-01,YES,Urban,NULL,NONE,Not Moved,200100006,200100006,609,17
200100009,2022,EC,2,ADDO PRIMARY SCHOOL,OPEN,Public,Ordinary School,PRIMARY SCHOOL,Ordinary,SARAH BAARTMAN,SB Sundays River Valley,PUBLIC,TO BE UPDATED,HOUSE OF REPRESENTATIVES(HOR),224282,224282,NOT APPLICABLE,NOT APPLICABLE,"25,68643","-33,54901",SARAH BARTMAN DISTRICT MUNICIPALITY,SUNDAYS RIVER VALLEY LOCAL MUNICIPALITY  ,EC106_3,20601000,NONE,A L JASSON,,,ADDO,"474 Jacaranda Str.,Valencia,Addo,6105","P O BOX 74, ADDO, 6105",0422330337,Section 21,,Q3,,,1925-01-01,YES,Rural,NULL,NONE,Not Moved,200100009,200100009,958,27
200100011,2022,EC,2,BLESSINGS CHRISTIAN PRIMARY LEARNING ACADEMY,OPEN,Independent/Private,Ordinary School,PRIMARY SCHOOL,Ordinary,NELSON MANDELA,NM Algoa-5,PRIVATE,PRIVATE,N/A,N/A,N/A,NOT APPLICABLE,NOT APPLICABLE,"25,577844","-33,95277",NELSON MANDELA BAY METROPOLITAN MUNICIPALITY,NELSON MANDELA BAY METROPOLITAN MUNICIPALITY,NMA_7,,,MR BLESSING MARUNGA,,,PORT ELIZABETH,"63 Perkins Street,Port Elizabeth,6213",,,,,NOT APPLICABLE,,,2014-02-25,NO,,NULL,NONE,Not Moved,200100011,200100011,52,6
200100012,2022,EC,2,ADELAIDE GYMNASIUM,OPEN,Public,Ordinary School,SECONDARY SCHOOL,TECHNICAL,AMATHOLE WEST,AW Circuit 1,PUBLIC,PUBLIC,CAPE EDUCATION DEPARTMENT(CED),074101,074101,4311002,ADELAIDE GYMNASIUM - 4311002,"26,29476","-32,71036",AMATHOLE DISTRICT MUNICIPALITY,RAYMOND MHLABA LOCAL MUNICIPALITY,EC129_21,21701000,NONE,J STROEBEL,,LINGELETHU,ADELAIDE,"Welsh Street,Adelaide,Adelaide,5760","PRIVATE BAG X311, ADELAIDE, 5760",0466840006,Section 21,,Q4,,,1979-01-01,NO,Urban,NULL,NONE,Not Moved,200100012,200100012,577,25
200100013,2022,EC,2,ADELAIDE PRIMARY SCHOOL,OPEN,Public,Ordinary School,PRIMARY SCHOOL,Ordinary,AMATHOLE WEST,AW Circuit 1,PUBLIC,TO BE UPDATED,CAPE EDUCATION DEPARTMENT(CED),074102,074102,NOT APPLICABLE,NOT APPLICABLE,"26,29388","-32,70782",AMATHOLE DISTRICT MUNICIPALITY,RAYMOND MHLABA LOCAL MUNICIPALITY,EC129_21,21701000,NONE,DS VAN HEERDEN,,LINGELETHU,ADELAIDE,"Grey Street,Adelaide,5760","P O BOX 7, ADELAIDE, 5760",0466840161,Section 21,,Q4,,,1906-01-01,NO,Urban,NULL,NONE,Not Moved,200100013,200100013,304,13
200100014,2022,EC,2,ADELAIDE JUNIOR SECONDARY SCHOOL,OPEN,Public,Ordinary School,COMBINED SCHOOL,Ordinary,AMATHOLE WEST,AW Circuit 1,PUBLIC,PUBLIC,HOUSE OF REPRESENTATIVES(HOR),074104,074104,NOT APPLICABLE,NOT APPLICABLE,"26,29792","-32,68456",AMATHOLE DISTRICT MUNICIPALITY,RAYMOND MHLABA LOCAL MUNICIPALITY,EC129_22,21701001,Bezuidenhoutville,L ADRIAAN,,LINGELETHU,ADELAIDE,"Percy Joseph Street,Bezuidenhoutville,Adelaide,5760","PO BOX 101, ADELAIDE, 5760",0466840200,Section 21,,Q3,,,1972-01-01,YES,Urban,NULL,NONE,Not Moved,200100014,200100014,617,22
200100015,2022,EC,2,ADENDORP PRIMARY SCHOOL,OPEN,Public,Ordinary School,PRIMARY SCHOOL,Ordinary,SARAH BAARTMAN,SB Camdeboo,PUBLIC,TO BE UPDATED,DEPARTMENT OF EDUCATION AND TRAINING(DET),084103,084103,NOT APPLICABLE,NOT APPLICABLE,"24,54938","-32,30348",SARAH BARTMAN DISTRICT MUNICIPALITY,DR BEYERS NAUDE LOCAL MUNICIPALITY,EC101_7,20103000,NONE,V MCINGA,,GRAAFF-REINET,ADENDORP,"17 Van Jaarsveld Street ,Adendorp,Adendorp ,6283","ST, ADENDORP, 6282",049-893022,Section 21,,Q3,,,,YES,Urban,NULL,NONE,Not Moved,200100015,200100015,152,5
200100016,2022,EC,2,ADOLPH SCHAUDER PRIMARY SCHOOL,OPEN,Public,Ordinary School,PRIMARY SCHOOL,Ordinary,NELSON MANDELA,NM Algoa-3,PUBLIC,PUBLIC,HOUSE OF REPRESENTATIVES(HOR),184105,184105,NOT APPLICABLE,NOT APPLICABLE,"25,56127","-33,93187",NELSON MANDELA BAY METROPOLITAN MUNICIPALITY,NELSON MANDELA BAY METROPOLITAN MUNICIPALITY,NMA_10,27516074,Schauderville,F FLORES,,SCHAUDERVILLE,PORT ELIZABETH,"Gideon Road,Schauderville,Port Elizabeth,6020","PO BOX 34359, NEWTON PARK, PORT ELIZABETH, 6059",0414514406,Section 21,,Q3,,,1965-01-01,YES,Urban,NULL,NONE,Not Moved,200100016,200100016,527,16
